row_index,model,prompt,response,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall,E6_prompt_misunderstanding,E10_irrelevant_response,judge_model,judge_prompt_attempt,raw_judge_output,E6,E10,category,category_name
10,HingGPT,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"What to do . For the first time in 10 years , you will have to go to the US . We know what to do . The first two are mere excuses and not enough answers . You can ' t get to your own . Your time is",2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,product_review,Product Reviews
11,HingGPT,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"For more information click on the below link to get more info . Visit : , ® ® ®® , ® ® , ® ® , ® , , , , , , ® , , , , , , , , ® , ® , ® , , ,",2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 1,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,product_review,Product Reviews
12,HingGPT,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,I can give you an example of how your father is using the same dress as me . Its more like a mere copy . There are different people who dont even know what to do or not . You are just as stupid as that . You need to,,,,,,,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 1,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,product_review,Product Reviews
13,HingGPT,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"What to Say . Watch ! Dr ink the best of you . Watch . Read More : aur ye jo bol rhe hain na ki wo sirf apne liye khel rahe hain , agr wo unke liye khel rahe hain to wo unke liye kyun nhi ? they both",4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 3,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,product_review,Product Reviews
14,HingGPT,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"There are many others in this world , but the mere presence of these things can be found here . This is what you mean to say . You ' re right , you ' ve been wrong . A mere apology . Have you ever seen your voice ?",2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,storytelling,Storytelling
15,HingGPT,Describe your first day at a new college in the form of a short story. Use Hinglish.,"® ® , ® ® ® , ®® ® ® ® ® ® ® ® ®® ® ® ® ® ®® ® ® , ® , ® ® ® , ® ® ® ® ® ® ® ? ® ® ® ® , ® , ® ® , ® ®",4.0,4.0,4.0,5.0,4.0,4.0,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",1.0,0.0,storytelling,Storytelling
16,HingGPT,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,A cross the door . Me : A . R iding by the name of ' N ature ' ! ' A '. It is in the way of con ven tional ly used to create a balance sheet ( 1 / 2 ) sir please kuch kariye 🙏 😭,,,,,,,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,storytelling,Storytelling
17,HingGPT,Tell a funny story about a wedding where everything went wrong but everyone had fun. Use Hinglish.,"The story is not good . The story behind it . It ' s just an example . I don ' t think there ' s anything that you can do to me . A few months ago , I talked about how you were in the end of this",,,,,,,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,storytelling,Storytelling
18,HingGPT,Give advice to someone who wants to start learning coding but has no background in it. Use Hinglish.,Re sume more . Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . A va il . A va il . A va il . A va il . A va il . A,3.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,advice_opinion,Advice & Opinions
19,HingGPT,Someone asks: 'Long distance relationship mein kya karna chahiye?' Give friendly advice in Hinglish.,"If you want to be successful , be successful . Don ating what you can to attain is a good thing . For more information visit Ashram YouTube Channel . . . . . . . . . . . . . . . . . . . . .",3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,advice_opinion,Advice & Opinions
20,HingGPT,Give your opinion on whether students should take a gap year. Use Hinglish.,"Ac cept your words . Its a mere formality . As you know , its not about having faith in God . It is about the belief that we have to do it . We cannot be wrong to do it . The people of this world are just mere",3.0,4.0,2.0,4.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,advice_opinion,Advice & Opinions
21,HingGPT,A friend wants to start a small food stall business. Give them practical advice in Hinglish.,How to make money on how to grow an online shop . Learn more about it . Learn Neela Ja doo . A va il . A va il . A va il . A va il . A va il . A va il . A va il .,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 1,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,advice_opinion,Advice & Opinions
22,HingGPT,Someone asks how to reduce mobile screen time. Answer with practical tips in Hinglish.,"What is the procedure ? Is it a sign of this or is it a sign of the same ? Is it not mandatory to take a bath in public space . If you can ' t understand this , then why do you keep on bother ing ? The",2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,advice_opinion,Advice & Opinions
23,HingGPT,"You are a customer support agent. A customer writes: 'Mera order 5 din se nahi aaya, kya problem hai?' Respond professionally in Hinglish.","' The restaurant is full of offers .' The restaurant has been ordered on the wrong number . There are two very different locations , the right item is available on the right side . The restaurant is already empty and it is not ready to get any benefits .",2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 1,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 2,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,customer_support,Customer Support Dialogues
24,HingGPT,You are a support agent for a bank. A customer asks how to activate their new debit card. Explain in Hinglish.,"If you have any further help , just DM me ! I ' ll make sure I can see your response . Thanks ! ^ KAL ( 1 / 2 ) if you want to talk to a stranger , don ' t text me . - bhai tu kaun",,,,,,,,,mistralai/Mistral-7B-Instruct-v0.3,,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 0,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 1,
  ""E10_irrelevant_response"": 1
}",,,customer_support,Customer Support Dialogues
25,HingGPT,You are a support agent for a telecom provider. Respond to a customer angry about unexpected data charges. Use Hinglish.,"I can do that . For you , please call me by your name . ( 2 / 2 ) I ' m trying to connect with your account as well . Kindly share with me on DM . Thanks . ^ EK ( 2 / 3 ) mere ko",3.0,3.0,2.0,4.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,customer_support,Customer Support Dialogues
26,HingGPT,Write a witty one-line caption for a photo of a cluttered desk at 2 AM during deadline week. Use Hinglish.,"A mere 4 hrs after meeting . If you can ' t do it , just write off your own picture . Read it . I hope you will do it ! 🙂 😊 😊 😁 😊 🙏 👍 👌 😊 👍 😇 🙏 👍 👏 👏 👍 👏 👍",4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,captions_quips,Captions & One-liners
27,HingGPT,Write a funny caption about the struggles of eating spicy food when you have a low spice tolerance. Use Hinglish.,"F ur ther more , use a lot of stuff to cook . But , I know , it ' s a waste of time . - A simple rule . I don ' t want any more . That ' s what I said . It ' s all",3.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,captions_quips,Captions & One-liners
28,HingGPT,Write a motivational one-liner in Hinglish about starting small.,Ac cur ate it . F low flow s to the side of the camera . C ' mere . You can do it . Make sure you ' re safe . I ' m not going to waste my time on that shit . Don ' t worry .,2.0,3.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,2.0,"{
  ""fluency"": 2,
  ""code_mixing_naturalness"": 3,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,captions_quips,Captions & One-liners
29,HingGPT,Write a caption for a photo of monsoon rain and hot chai. Use Hinglish.,"A Re formation Of Water . Watch it here : I know its not a mere coincidence , but that ' s a real thing . :-) In this case , the world is full of people who are willing to help you . C ont . If you can",3.0,4.0,2.0,1.0,3.0,3.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,captions_quips,Captions & One-liners
30,HingGPT,"Explain to a friend why petrol prices keep rising, in simple Hinglish.","A Guru , The G host : The D ump , the C old & amp ; the S pr ing Ro lls , The M achi ne , the P ink ler , The S pr ing Ro lls , The V ari ant of the O w ner",3.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,news_explainer,News & Explainers
31,HingGPT,Explain what artificial intelligence is to your grandmother in Hinglish.,"In the morning , she says , Tum mere kitne ho qareeb , ye mai hone nahi dunga . And I feel that when you know me , you ' re still here . ( She ) ( A + ) = 0 . 0 mm , ms 19 .",4.0,4.0,3.0,1.0,3.0,3.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 3,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,news_explainer,News & Explainers
32,HingGPT,"Summarize why doctors advise getting enough sleep, in Hinglish for a young audience.","In front of all the doctors . The nurses are on ventil ation , and the nurses are still on ventil ator . So they ' re not doing anything to get their treatment done . We need to do some research . The best is yet to be seen",3.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,news_explainer,News & Explainers
33,HingGPT,Explain how UPI payments work to someone new to smartphones. Use Hinglish.,"What kind of security you are using ? We don ' t know what kind of security is this ? I think it will be too late ! So don ' t worry , we have our own guru who will tell you everything . You can do anything .",3.0,4.0,2.0,1.0,3.0,2.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 3,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 2,
  ""prompt_adherence"": 1,
  ""spelling_consistency"": 3,
  ""overall"": 2,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 1
}",,,news_explainer,News & Explainers
34,Phi-3.5-mini,"A friend asks you: 'What did you do this weekend?' Respond in natural Hinglish, like you are chatting with a close friend.",Wo kya hua tha? 😂 I went to Mumbai for some shopping and then hit up a cool local café! You wanna know more about it or anything else happening at home? ��,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,casual_chat,Casual Conversation
35,Phi-3.5-mini,Your friend is stressed about an upcoming exam. Cheer them up with a message in Hinglish.,"🌟 Yaar, kuch bhi hota hai toh jaldi pata chalao! Exam kaise accha kar sakta ho? Don't stress out, you got this - it",4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,casual_chat,Casual Conversation
36,Phi-3.5-mini,Tell your friend about a funny incident that happened to you on the bus today. Respond in Hinglish.,"🚌 Today, mein bahut hoga kya hai... Bus stop dekha tha uske saath ek man ki taraf se acchi baat kar rahi huye tumhe chiz ko",4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,casual_chat,Casual Conversation
37,Phi-3.5-mini,"Your friend is planning to buy a new phone and asks your opinion: iPhone ya Samsung, kya lena chahiye? Respond in Hinglish.","Definitely! It depends on ur needs 📱 Apple phones (iPhone) aur Google Android devices (Samsung). If u want seamless integration with other apple products like iPad or MacBook, go for iPhone.",4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 4,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,casual_chat,Casual Conversation
38,Phi-3.5-mini,Reply to a friend who just told you they got engaged. Respond in Hinglish.,"Abhi baar kuchh bohat karte hai, jab mein 😂 Tumhe pyaar kaise hota tha? Mujhe apna tumse love nikalta hai",4.0,5.0,3.0,5.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 5,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 5,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,casual_chat,Casual Conversation
39,Phi-3.5-mini,Write an Instagram caption for a photo of you eating street food (chaat) with friends in Delhi. Use Hinglish.,"🍽️ Street Food Fiesta! Friends &amp; chaat time, delhi style. #ChaatWithFriends is life's best mix - spicy, sweet, and endlessly fun!",4.0,4.0,3.0,5.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 5,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,social_media,Social Media Posts
40,Phi-3.5-mini,Write a Twitter/X post complaining about Mumbai local train rush during monsoon. Use Hinglish.,"""Mumbai locals🚂: Monsoon season, chaos at stations! Flooded platforms 🌧️, overcrowded carriages 👣 and delays galore!! Travel",4.0,4.0,3.0,5.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 5,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,social_media,Social Media Posts
41,Phi-3.5-mini,Write a Facebook status celebrating India winning a cricket match. Use Hinglish.,"🏆✨ Incredible victory! Shining like champions, our beloved team of #IndiaCricket has once again shown their strength and spirit on this glorious day!! Victory is sweet when it belongs to",4.0,4.0,3.0,5.0,4.0,4.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,1.0,"{
  ""fluency"": 4,
  ""code_mixing_naturalness"": 4,
  ""hindi_grammar"": 3,
  ""prompt_adherence"": 5,
  ""spelling_consistency"": 4,
  ""overall"": 4,
  ""E6_prompt_misunderstanding"": 0,
  ""E10_irrelevant_response"": 0
}",,,social_media,Social Media Posts
