category,category_name,model_a,model_b,comparisons,model_a_wins,model_b_wins,ties,model_a_win_rate,model_b_win_rate
captions_quips,Captions & One-liners,Qwen2.5-3B,Qwen2.5-7B,4,3,1,0,0.75,0.25
captions_quips,Captions & One-liners,Qwen2.5-7B,HingGPT,4,4,0,0,1.0,0.0
captions_quips,Captions & One-liners,Qwen2.5-7B,Phi-3.5-mini,4,2,2,0,0.5,0.5
captions_quips,Captions & One-liners,Qwen2.5-7B,Qwen2.5-3B,4,3,1,0,0.75,0.25
casual_chat,Casual Conversation,HingGPT,Phi-3.5-mini,5,0,5,0,0.0,1.0
casual_chat,Casual Conversation,HingGPT,Qwen2.5-3B,5,3,1,1,0.6,0.2
casual_chat,Casual Conversation,HingGPT,Qwen2.5-7B,5,2,3,0,0.4,0.6
casual_chat,Casual Conversation,Phi-3.5-mini,HingGPT,5,5,0,0,1.0,0.0
casual_chat,Casual Conversation,Phi-3.5-mini,Qwen2.5-3B,5,5,0,0,1.0,0.0
casual_chat,Casual Conversation,Phi-3.5-mini,Qwen2.5-7B,5,4,1,0,0.8,0.2
casual_chat,Casual Conversation,Qwen2.5-3B,HingGPT,5,3,1,1,0.6,0.2
casual_chat,Casual Conversation,Qwen2.5-3B,Phi-3.5-mini,5,3,2,0,0.6,0.4
casual_chat,Casual Conversation,Qwen2.5-3B,Qwen2.5-7B,5,3,2,0,0.6,0.4
casual_chat,Casual Conversation,Qwen2.5-7B,HingGPT,5,5,0,0,1.0,0.0
casual_chat,Casual Conversation,Qwen2.5-7B,Phi-3.5-mini,5,4,1,0,0.8,0.2
casual_chat,Casual Conversation,Qwen2.5-7B,Qwen2.5-3B,5,5,0,0,1.0,0.0
customer_support,Customer Support Dialogues,HingGPT,Phi-3.5-mini,3,0,3,0,0.0,1.0
customer_support,Customer Support Dialogues,HingGPT,Qwen2.5-3B,3,1,2,0,0.3333333333333333,0.6666666666666666
customer_support,Customer Support Dialogues,HingGPT,Qwen2.5-7B,3,0,3,0,0.0,1.0
customer_support,Customer Support Dialogues,Phi-3.5-mini,HingGPT,3,3,0,0,1.0,0.0
customer_support,Customer Support Dialogues,Phi-3.5-mini,Qwen2.5-3B,3,3,0,0,1.0,0.0
customer_support,Customer Support Dialogues,Phi-3.5-mini,Qwen2.5-7B,3,3,0,0,1.0,0.0
customer_support,Customer Support Dialogues,Qwen2.5-3B,HingGPT,3,3,0,0,1.0,0.0
customer_support,Customer Support Dialogues,Qwen2.5-3B,Phi-3.5-mini,3,1,2,0,0.3333333333333333,0.6666666666666666
customer_support,Customer Support Dialogues,Qwen2.5-3B,Qwen2.5-7B,3,2,1,0,0.6666666666666666,0.3333333333333333
customer_support,Customer Support Dialogues,Qwen2.5-7B,HingGPT,3,3,0,0,1.0,0.0
customer_support,Customer Support Dialogues,Qwen2.5-7B,Phi-3.5-mini,3,2,1,0,0.6666666666666666,0.3333333333333333
customer_support,Customer Support Dialogues,Qwen2.5-7B,Qwen2.5-3B,3,3,0,0,1.0,0.0
news_explainer,News & Explainers,HingGPT,Phi-3.5-mini,4,0,4,0,0.0,1.0
news_explainer,News & Explainers,HingGPT,Qwen2.5-3B,4,2,2,0,0.5,0.5
news_explainer,News & Explainers,HingGPT,Qwen2.5-7B,4,1,3,0,0.25,0.75
news_explainer,News & Explainers,Phi-3.5-mini,HingGPT,4,4,0,0,1.0,0.0
news_explainer,News & Explainers,Phi-3.5-mini,Qwen2.5-3B,4,4,0,0,1.0,0.0
news_explainer,News & Explainers,Phi-3.5-mini,Qwen2.5-7B,4,2,2,0,0.5,0.5
news_explainer,News & Explainers,Qwen2.5-3B,HingGPT,4,4,0,0,1.0,0.0
news_explainer,News & Explainers,Qwen2.5-3B,Phi-3.5-mini,4,1,3,0,0.25,0.75
news_explainer,News & Explainers,Qwen2.5-3B,Qwen2.5-7B,4,0,4,0,0.0,1.0
news_explainer,News & Explainers,Qwen2.5-7B,HingGPT,4,4,0,0,1.0,0.0
news_explainer,News & Explainers,Qwen2.5-7B,Phi-3.5-mini,4,4,0,0,1.0,0.0
news_explainer,News & Explainers,Qwen2.5-7B,Qwen2.5-3B,4,4,0,0,1.0,0.0
product_review,Product Reviews,HingGPT,Phi-3.5-mini,4,1,3,0,0.25,0.75
product_review,Product Reviews,HingGPT,Qwen2.5-3B,4,1,3,0,0.25,0.75
product_review,Product Reviews,HingGPT,Qwen2.5-7B,4,2,2,0,0.5,0.5
product_review,Product Reviews,Phi-3.5-mini,HingGPT,4,4,0,0,1.0,0.0
product_review,Product Reviews,Phi-3.5-mini,Qwen2.5-3B,4,4,0,0,1.0,0.0
product_review,Product Reviews,Phi-3.5-mini,Qwen2.5-7B,4,4,0,0,1.0,0.0
product_review,Product Reviews,Qwen2.5-3B,HingGPT,4,3,1,0,0.75,0.25
product_review,Product Reviews,Qwen2.5-3B,Phi-3.5-mini,4,3,1,0,0.75,0.25
product_review,Product Reviews,Qwen2.5-3B,Qwen2.5-7B,4,2,2,0,0.5,0.5
product_review,Product Reviews,Qwen2.5-7B,HingGPT,4,2,0,2,0.5,0.0
product_review,Product Reviews,Qwen2.5-7B,Phi-3.5-mini,4,1,3,0,0.25,0.75
product_review,Product Reviews,Qwen2.5-7B,Qwen2.5-3B,4,2,2,0,0.5,0.5
social_media,Social Media Posts,HingGPT,Phi-3.5-mini,5,0,5,0,0.0,1.0
social_media,Social Media Posts,HingGPT,Qwen2.5-3B,5,2,3,0,0.4,0.6
social_media,Social Media Posts,HingGPT,Qwen2.5-7B,5,2,3,0,0.4,0.6
social_media,Social Media Posts,Phi-3.5-mini,HingGPT,5,5,0,0,1.0,0.0
social_media,Social Media Posts,Phi-3.5-mini,Qwen2.5-3B,5,5,0,0,1.0,0.0
social_media,Social Media Posts,Phi-3.5-mini,Qwen2.5-7B,5,5,0,0,1.0,0.0
social_media,Social Media Posts,Qwen2.5-3B,HingGPT,5,4,1,0,0.8,0.2
social_media,Social Media Posts,Qwen2.5-3B,Phi-3.5-mini,5,2,3,0,0.4,0.6
social_media,Social Media Posts,Qwen2.5-3B,Qwen2.5-7B,5,3,2,0,0.6,0.4
social_media,Social Media Posts,Qwen2.5-7B,HingGPT,5,5,0,0,1.0,0.0
social_media,Social Media Posts,Qwen2.5-7B,Phi-3.5-mini,5,2,3,0,0.4,0.6
social_media,Social Media Posts,Qwen2.5-7B,Qwen2.5-3B,5,5,0,0,1.0,0.0
storytelling,Storytelling,HingGPT,Phi-3.5-mini,4,0,4,0,0.0,1.0
storytelling,Storytelling,HingGPT,Qwen2.5-3B,4,0,4,0,0.0,1.0
storytelling,Storytelling,HingGPT,Qwen2.5-7B,4,0,4,0,0.0,1.0
storytelling,Storytelling,Phi-3.5-mini,HingGPT,4,4,0,0,1.0,0.0
storytelling,Storytelling,Phi-3.5-mini,Qwen2.5-3B,4,3,1,0,0.75,0.25
storytelling,Storytelling,Phi-3.5-mini,Qwen2.5-7B,4,4,0,0,1.0,0.0
storytelling,Storytelling,Qwen2.5-3B,HingGPT,4,4,0,0,1.0,0.0
storytelling,Storytelling,Qwen2.5-3B,Phi-3.5-mini,4,3,1,0,0.75,0.25
storytelling,Storytelling,Qwen2.5-3B,Qwen2.5-7B,4,4,0,0,1.0,0.0
storytelling,Storytelling,Qwen2.5-7B,HingGPT,4,4,0,0,1.0,0.0
storytelling,Storytelling,Qwen2.5-7B,Phi-3.5-mini,4,2,2,0,0.5,0.5
storytelling,Storytelling,Qwen2.5-7B,Qwen2.5-3B,4,3,1,0,0.75,0.25
