model,sample_id,category,prompt,response,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall,judge_raw_output
HingGPT,14,product_review,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"Hone your skills , build your own space and be the best at it . Click to order : i love you too , but you are not alone . this is why we are not together and thats what we want . queen of hearts bhai ka birthday hai salman khan bday month ye to sabse badi galti nikli ki asim ne usko itna fame diya aur umar ko hi support kar rahe ho ! shame on asim riaz shame on asim riaz nalla host one man show umar nation loves asim stop defaming doctor umar roar like sher umar tum logon ko pata hai ki nahi ki hum log tumhari tarah nahi hai jo har baat par hindu muslim karne aajate hai kabhi kabhi lagta hai",1.0,1.0,1.0,1.0,1.0,1.0,"{
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    ""overall"": 1
}


EXPLANATION:

- The response does not exhibit natural fluency or readability in Hinglish, as it is a jumbled mix of phrases and lacks coherent structure.
- The code mixing between Hindi and English is not natural or contextually appropriate for the prompt.
- There are numerous grammatical errors in Hindi, and the sentence structure is incorrect.
- The response does not adhere to the prompt, which was about reviewing a budget-friend"
HingGPT,15,storytelling,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"The guy is trying to be the victim of a mere car nage . He is the one who does not have faith in Guru ' s word , is not a devotee . Jagat Guru Sant Rampal Ji Maharaj . Must watch Sadhna tv 7 : 30pm ( IST ). 🌳 🌲 🌸 🌺 🥀 🌷 🌷 🌸 🌺 🥀 🌷 🥀 🌷 🥀 🌷 🌼 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🥀",,,,,,,��� 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 �
HingGPT,16,storytelling,Describe your first day at a new college in the form of a short story. Use Hinglish.,"Hone your skills , and you will be able to see how you can get started with a new book . Book your tee time here : - ® ® , ® ® ® , ® ® , ® ® ® ® ® ® , ® ® ® ®® ® ® ® ® ® ® ® ® ® , , ® ® ® ® , ® ? ® ® ® ® ? ® , ? ? ® ? ® ® ® ? ® ® ® ® ® ® ? ® ? ® ? ? ? ? ® ? ® ® ? ® ? ® ? ? ® ® ? ® ? ® ? ® ? ® ? ® ? ? ® ? ? ® ? ® ? ®",1.0,1.0,1.0,1.0,1.0,1.0,"{
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    ""overall"": 1
}


Note: The scores are all 1 due to the lack of coherent narrative, poor code mixing, grammatical errors, lack of adherence to the prompt, and inconsistent spelling in the provided model response. The response does not form a coherent short story in Hinglish as requested. {
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
"
HingGPT,17,storytelling,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,"Then it is done . Then there is the one who says ' hum to tere baap hai ' . Is it really necessary ? No doubt , but it is just a game . It is not a game . Its a game . Stop playing your own game . You have nothing to do with the game . You are not worth it . Not worth it . Stay strong . You are doing the best . You are doing the best . I am proud of you . Stay strong . Allah bless you ! Love u . Have a good day ! 😊 🤗 ♥ 🙏 💖 😘 💕 💝 💞 💕 💗 💕 💕 💓 💕 💘 💓 💘 💖 💘 💖 💓",2.0,2.0,2.0,2.0,3.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 3,
    ""overall"": 2
}
"
HingGPT,18,storytelling,Tell a funny story about a wedding where everything went wrong but everyone had fun. Use Hinglish.,"But no one is bothered about it , so there are many more reasons to watch it . It ' s all about being in a relationship with a man and not going for a sex guru or any other purpose . You have to accept that you know the way you do . And if you want to talk about the person he loves , just leave . In front of me . This is how you treat women . Not me . I don ' t care what you say . You can ' t even speak about the woman who doesn ' t like their women . So you call yourself a misogynist . Get your facts straight . You are a misogynist ! You",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
HingGPT,19,advice_opinion,Give advice to someone who wants to start learning coding but has no background in it. Use Hinglish.,"Learn the skill that you can hone and learn from them , try to be a better person and keep your skills as a motivation . Learn more about how you can build your writing and how you can make your work . And read more at : - Y no me har dao ir a as ? - As cmo ? - Sin una bir ra . - As sin gan as . - As de la familia . - As sin ti . ye log sirf apne agenda chala rahe hai aur kuch nahi inko kya farak padta hai ki ye sab se inke ko fark padega ki inke liye sarkar kya karti hai .. inki aukat kya hai . hum ek dusre ko follow karte",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
HingGPT,20,advice_opinion,Someone asks: 'Long distance relationship mein kya karna chahiye?' Give friendly advice in Hinglish.,"We can do it ! I am sure they will handle it better , and I hope they do better with time . ( 1 / 2 ) I love how he gets older . And I love his hair . He has a big heart . But he has a great personality . Im so sorry for your loss . Im just sad . Ill never see him again again . He is very very strong and he loves us . You dont need to worry about that . He is the most deserving of all . He is our hero . Love you Bhai . Take care . Stay healthy . Stay safe . Ameen . God bless you . 🙏 🤗 ♥ 🙏 🕉 🙏",3.0,4.0,3.0,4.0,4.0,4.0,"{
    ""fluency"": 3,
    ""code_mixing_naturalness"": 4,
    ""hindi_grammar"": 3,
    ""prompt_adherence"": 4,
    ""spelling_consistency"": 4,
    ""overall"": 4
}


EXPLANATION:

- ""fluency"" is rated 3 because the response is mostly coherent and understandable, but there are some awkward phrasing and sentence structure that could be improved.
- ""code_mixing_naturalness"" is rated 4 because the Hinglish response effectively mixes English and Hinglish, maintaining a conversational tone that is natural for the context.
- ""hindi_grammar"" is rated 3 as the"
HingGPT,21,advice_opinion,Give your opinion on whether students should take a gap year. Use Hinglish.,"We are in the process of creating that exam iner ary for students to learn from each and every step of life . A / C - 1 . 5 years se hum padh rahe hai , exam nahi hota hai , ab toh kuch bacha hi nahi hai . We can ' t wait anymore . So don ' t waste our time . We don ' t want any more delay . We want offline exam as soon as possible . Thank you . ^ S . G . . ( ^ 2 ) we love you faisu . . keep shining 🌟 . keep rocking . . . . . . . . . . . . . . . . . . . .",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
Stating the opinion on whether students should take a gap year in Hinglish, the response lacks fluency and linguistic coherence. The code mixing is present but not natural, and the grammar, while in Hindi, is not entirely correct. The response does not directly address the prompt, and the spelling is inconsistent. Overall, the quality of the response is below average."
HingGPT,22,advice_opinion,A friend wants to start a small food stall business. Give them practical advice in Hinglish.,"If you want to learn something , they can learn from the experience . I would like to thank Dr . Kal ' tsit for your help . And she will share with me too ! ( 2 / 3 ) ( 1 ) aise hi hota hai .. har baar .. kuch na kuch problem ho jati hai .. but phir bhi ye sab chalta rehta hai .. so better hai apna time ayega .. don ' t take it lightly .. 😊 👍 🙌 🙏 👍 😊😊 🙏🙏 🇮🇳🇮🇳 🙏🙏 jai shree ram 🙏 🚩🚩 🚩 🙏 🙏🚩 🇮🇳 🙏🏻 🇮🇳 🙏🏼 🕉 🙏 jai hind 🙏 jai shree ram 🙏 🙏 🇮🇳🙏 💐 🙏 🇮🇳🙏 🙏 🇮🇳 🇮🇳 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳🇮🇳🇮🇳",,,,,,,������ 🙏 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳 🙏 
HingGPT,23,advice_opinion,Someone asks how to reduce mobile screen time. Answer with practical tips in Hinglish.,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,2.0,2.0,2.0,2.0,2.0,2.0,"```json
{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
``` ```json
{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
```

(Note: The given response is not in Hinglish and lacks the necessary details and fluency."
HingGPT,24,customer_support,"You are a customer support agent. A customer writes: 'Mera order 5 din se nahi aaya, kya problem hai?' Respond professionally in Hinglish.",I will get back to you by the time it comes back to you . The company will be able to provide you with the best of your services . ^ J N K S BS - Co ok s . Good morning Bhai 😊 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 💖 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌅 🌅 🌅 🙏🙏🙏 🌞 💖 🙏🙏 🌻 🙏 🤗 😊😊 🙏🙏 🙏🙏 🤗 🙏 🌴 🙏 🙏🙏 🌹🌹 🙏🙏 🌻 🙏 🌴 🙏 🙏 🙏 🙏 🌴 🙏 👍 🌳 🌲 🌸 🌺 🙏 🌴 🙏 🍁 🙏🙏 🌹🌹 🙏🙏 🌷🌷 🙏 🌴 🙏 🌴 🌴 🌳🌳 🌳 🙏 🙏 🌴 🙏 🌴 🌴,,,,,,,� 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 ���
HingGPT,25,customer_support,You are a support agent for a bank. A customer asks how to activate their new debit card. Explain in Hinglish.,"One of the worst bank service provider is , they don ' t have any other option . I want to know what is the issue ? How can you do this to customers . Please help us . Thanks ! ^ KAL . ^ J EN . ^ OS . ^ EK . ^ O . ^ R V . ^ SA M - E - N RI . ^ S US HANT . CBI Know s SSR Mur der Truth And He S US HANT SING LE Truth Sushant Singh Rajput . Justice For Disha salian Ji . Justice For Sushant Singh Rajput . Justice For Sushant Singh Rajput . Justice For Bapu ji . Justice For Sushant Now . Justice For Sushant Singh Rajput .",1.0,1.0,1.0,1.0,1.0,1.0,"{
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    ""overall"": 1
}


EXPLANATION:
- The response lacks fluency and readability, mixing unrelated phrases and names.
- Code mixing is not natural; the text is a random string of Hinglish and English without proper context.
- There is no correct Hindi grammar used.
- The response does not adhere to the prompt about activating a debit card.
- Spelling is inconsistent and not readable.
- Overall quality is poor across all criteria. {
"
HingGPT,26,customer_support,You are a support agent for a telecom provider. Respond to a customer angry about unexpected data charges. Use Hinglish.,"The issue is that this doesn ' t work . If you have the details , do it . We will deliver a great bill and get them back to you . Please allow us some time ! - P ues ted by PM Narendra Modi at ghat in Varanasi , Uttar Pradesh . _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® ® _ ® _ ® _ ® ® ® ® ® ® ? Sant Rampal Ji Maharaj YouTube Channel Visit kre aur apne channel pr b share kre .. taaki apki trp ki umeed",1.0,1.0,1.0,1.0,1.0,1.0,"{
    ""fluency"": 1,
    ""code_mixing_naturalness"": 1,
    ""hindi_grammar"": 1,
    ""prompt_adherence"": 1,
    ""spelling_consistency"": 1,
    ""overall"": 1
}


Note: The scores are all 1 due to the poor quality of the response in terms of fluency, code mixing naturalness, grammar, prompt adherence, and spelling consistency. The response does not effectively address the customer's issue, lacks coherence, and contains numerous spelling and grammatical errors. It also includes unrelated information and lacks the professional tone expected from a support agent. {
    ""fluency"": 1,
    ""code_mix"
HingGPT,27,captions_quips,Write a witty one-line caption for a photo of a cluttered desk at 2 AM during deadline week. Use Hinglish.,"( Though ts ) ( It ' s not a mere coincidence , but the rest is a fact ). The very least you can do is get your facts right . It is an old pic of the first day in my life where I see people getting offended . I mean , just be a little bit careful , and do it all . :) ) ... ! ) / .. / ) / / ) / / / : / ) / / : / / : / : / / / / : / / / : / / : / / : / / / : / / : / / : / / : / : / / : / / :",2.0,2.0,2.0,2.0,2.0,2.0,"{
    ""fluency"": 2,
    ""code_mixing_naturalness"": 2,
    ""hindi_grammar"": 2,
    ""prompt_adherence"": 2,
    ""spelling_consistency"": 2,
    ""overall"": 2
}
"
