row_index,model,fluency_original,code_mixing_naturalness_original,hindi_grammar_original,prompt_adherence_original,spelling_consistency_original,overall_original,fluency_perturbed,code_mixing_naturalness_perturbed,hindi_grammar_perturbed,prompt_adherence_perturbed,spelling_consistency_perturbed,overall_perturbed
14,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
14,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0
14,Qwen2.5-7B,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
15,HingGPT,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
15,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0
15,Qwen2.5-3B,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0
15,Qwen2.5-7B,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
16,HingGPT,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
16,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
16,Qwen2.5-3B,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
16,Qwen2.5-7B,3.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0
17,HingGPT,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
17,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Qwen2.5-3B,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
17,Qwen2.5-7B,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0
18,HingGPT,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
18,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0
18,Qwen2.5-3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Qwen2.5-7B,2.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0
19,HingGPT,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,5.0,1.0,3.0
19,Qwen2.5-3B,3.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,5.0,2.0
19,Qwen2.5-7B,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0
20,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0
20,Qwen2.5-3B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
20,Qwen2.5-7B,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0
21,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
21,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
21,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
21,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0
22,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0
22,Qwen2.5-3B,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0
22,Qwen2.5-7B,3.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,5.0,2.0
23,HingGPT,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
23,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
23,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
23,Qwen2.5-7B,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
24,HingGPT,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
24,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0
24,Qwen2.5-3B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
24,Qwen2.5-7B,3.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
25,HingGPT,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
25,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
25,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
25,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
26,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
26,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
26,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
27,HingGPT,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
27,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
27,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
27,Qwen2.5-7B,2.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0
28,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
28,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
28,Qwen2.5-3B,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0
28,Qwen2.5-7B,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
29,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
29,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,3.0,4.0
29,Qwen2.5-3B,3.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
29,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0
30,HingGPT,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0
30,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0
30,Qwen2.5-3B,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
30,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
31,HingGPT,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0
31,Qwen2.5-3B,3.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
31,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
32,HingGPT,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
32,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Qwen2.5-3B,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0
32,Qwen2.5-7B,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
33,HingGPT,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
33,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0
33,Qwen2.5-3B,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0
33,Qwen2.5-7B,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0
34,HingGPT,2.0,3.0,2.0,1.0,5.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0
34,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,5.0,3.0
34,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
34,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
35,HingGPT,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
35,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0
35,Qwen2.5-3B,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
35,Qwen2.5-7B,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0
36,HingGPT,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
36,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0
36,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0
36,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
37,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Qwen2.5-3B,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0
37,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
38,HingGPT,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
38,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0
38,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
38,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
39,HingGPT,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0
39,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0
39,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
39,Qwen2.5-7B,4.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
40,HingGPT,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0
40,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0
40,Qwen2.5-3B,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0
40,Qwen2.5-7B,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
41,HingGPT,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
41,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0
41,Qwen2.5-3B,3.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0
41,Qwen2.5-7B,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0
42,HingGPT,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
42,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
42,Qwen2.5-3B,3.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
42,Qwen2.5-7B,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0
43,HingGPT,1.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0
43,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
43,Qwen2.5-3B,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
43,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
44,HingGPT,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
44,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0
44,Qwen2.5-3B,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
44,Qwen2.5-7B,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0
45,HingGPT,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
45,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
45,Qwen2.5-3B,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
45,Qwen2.5-7B,3.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0
46,HingGPT,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
46,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
46,Qwen2.5-3B,3.0,4.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0
46,Qwen2.5-7B,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0
47,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0
47,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0
47,Qwen2.5-3B,3.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0
47,Qwen2.5-7B,4.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,5.0,3.0
48,HingGPT,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
48,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0
48,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
48,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0
49,HingGPT,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0
49,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Qwen2.5-3B,3.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0
49,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0
50,HingGPT,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
50,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0
50,Qwen2.5-3B,3.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,5.0,3.0
50,Qwen2.5-7B,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
51,HingGPT,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
51,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Qwen2.5-3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Qwen2.5-7B,4.0,4.0,3.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,5.0,2.0
52,HingGPT,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
52,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,4.0
52,Qwen2.5-3B,4.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,5.0,2.0
52,Qwen2.5-7B,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
53,HingGPT,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
53,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
53,Qwen2.5-3B,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
53,Qwen2.5-7B,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0
54,HingGPT,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0
54,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
54,Qwen2.5-3B,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
54,Qwen2.5-7B,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0
55,HingGPT,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
55,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,3.0
55,Qwen2.5-3B,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
55,Qwen2.5-7B,3.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,5.0,2.0
56,HingGPT,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
56,Phi-3.5-mini,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0
56,Qwen2.5-3B,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0
56,Qwen2.5-7B,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0
57,HingGPT,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0
