sample_id,pair_model_1,pair_model_2,displayed_A_model,displayed_B_model,position_swapped,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall
25,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,T,T,T,B,B,T
26,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,T,B,A,T,A,T
27,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,A,T,B,A,B,T
28,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,B,T,B,B,B
29,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,B,T,B,B,B
30,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,B,B,T,T,T,B
31,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,B,T,A,B,T,B
32,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,T,A,B,T,B,B
33,HingGPT,Qwen2.5-3B,Qwen2.5-3B,HingGPT,True,A,T,B,A,B,B
34,HingGPT,Qwen2.5-3B,HingGPT,Qwen2.5-3B,False,T,A,T,B,A,B
1,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,T,A,T,B,A,B
2,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,B,T,B,B,B
3,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,A,T,B,A,B,B
4,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,B,T,B,B,A
5,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,T,A,B,T,B,B
6,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,B,T,A,B,A,B
7,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,B,B,T,A,T,B
8,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,T,A,B,T,B,B
9,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,A,B,B,T,T
10,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,B,T,A,B,A,A
11,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,B,B,T,T,T
12,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,T,B,A,B,B,A
13,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,T,A,B,T,B,B
14,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,T,A,B,T,B
15,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,T,A,T,B,A
16,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,T,A,T,B,B
17,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,A,B,T,T,T,B
18,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,T,T,A,T,B
19,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,A,T,A,T,T,B
20,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,B,T,B,B,B
21,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,B,T,T,T,A
22,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,T,A,T,B,A,B
23,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,A,B,B,T,B,T
24,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,A,B,A,T,B,A
25,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,T,B,B,T,B
26,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,B,T,B,B,B
27,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,A,B,T,B,B,B
28,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,T,A,B,T,B
29,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,B,T,A,B,A,B
30,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,B,B,T,A,T,B
31,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,B,T,A,B,A,B
32,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,T,A,T,B,B,T
33,HingGPT,Qwen2.5-7B,Qwen2.5-7B,HingGPT,True,T,A,T,B,A,B
34,HingGPT,Qwen2.5-7B,HingGPT,Qwen2.5-7B,False,A,T,B,A,B,T
1,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,T,A,T,B,A,B
2,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,T,A,B,T,B,B
3,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,T,A,T,B,A
4,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,T,A,T,B,B
5,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,T,A,T,B,A,B
6,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,A,T,B,A,B,B
7,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,B,A,T,B,A
8,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,B,T,A,B,T,B
9,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,B,A,T,B,A
10,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,A,T,B,A,B,B
11,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,B,T,T,T,B
12,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,B,T,A,B,T,B
13,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,A,T,B,A,B,A
14,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,B,T,B,T,B
15,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,B,B,T,T,T,B
16,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,T,B,A,T,A,T
17,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,A,B,A,T,A,T
18,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,T,A,T,T,B
19,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,B,T,B,B,A
20,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,B,T,T,T,T,T
21,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,T,A,T,B,A,B
22,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,B,T,A,T,B
23,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,T,A,T,B,A,B
24,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,T,B,A,B,B
25,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,T,B,T,B,T,B
26,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,B,A,B,B,A
27,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,T,A,T,B,A,B
28,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,A,B,T,T,T
29,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,T,A,T,B,A
30,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,A,B,A,T,B,A
31,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,T,A,B,T,B
32,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,B,T,A,T,B,B
33,Phi-3.5-mini,Qwen2.5-3B,Phi-3.5-mini,Qwen2.5-3B,False,T,A,B,T,B,B
34,Phi-3.5-mini,Qwen2.5-3B,Qwen2.5-3B,Phi-3.5-mini,True,T,A,T,B,A,B
1,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,T,A,T,B,A
2,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,T,A,B,A,B
3,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,T,A,T,B,B
4,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,T,A,T,B,A,B
5,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,T,A,B,T,B,B
6,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,A,A,B,T,B,B
7,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,T,A,B,T,B
8,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,A,B,B,B,T,T
9,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,A,T,B,A,B,B
10,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,B,T,B,T,A
11,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,T,A,T,B,A
12,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,T,T,A,B,A,A
13,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,A,T,B,A,B,B
14,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,T,A,B,A,B,A
15,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,A,B,A,T,B,A
16,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,T,A,T,B,B
17,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,A,B,T,B,B,T
18,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,B,T,T,T,B
19,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,T,B,A,B,B,A
20,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,T,A,T,B,B
21,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,B,T,T,T,B
22,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,T,A,B,A,B
23,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,B,T,T,T,B
24,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,T,A,T,B,B
25,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,T,B,A,T,A,T
26,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,A,B,A,T,T
27,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,A,B,T,B,B,B
28,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,T,A,B,T,B
29,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,T,A,B,T,B
30,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,B,B,A,T,B,A
31,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,T,A,B,T,B,B
32,Phi-3.5-mini,Qwen2.5-7B,Qwen2.5-7B,Phi-3.5-mini,True,B,T,A,T,B,A
33,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,T,A,B,T,B,B
34,Phi-3.5-mini,Qwen2.5-7B,Phi-3.5-mini,Qwen2.5-7B,False,A,T,B,A,B,B
1,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,A,T,B,A,B
2,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,A,B,B,T,T
3,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,A,T,B,A,B
4,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,T,T,B,B,B
5,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,B,T,T,A,T,B
6,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,T,A,B,A,B
7,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,A,B,A,T,B,A
8,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,B,A,B,B,B,T
9,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,A,A,A,A,B,B
10,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,B,T,T,T,A,A
11,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,A,B,T,T,T,T
12,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,A,B,B,T,T,T
13,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,B,T,A,B,A,B
14,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,B,T,B,T,A,B
15,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,T,B,A,T,A,T
16,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,B,A,T,A,T
17,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,B,T,T,T,B
18,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,A,B,T,B,B
19,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,A,T,B,A,B,B
20,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,A,T,T,A,T
21,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,T,T,T,A,B
22,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,T,A,B,T,B,B
23,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,A,B,B,T,A,T
24,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,A,T,B,A,B,T
25,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,A,T,B,B,B
26,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,T,A,B,A,B,A
27,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,T,A,T,B,A,B
28,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,A,B,T,T,T
29,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,A,B,T,B,B,B
30,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,A,B,A,T,B,A
31,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,B,T,A,T,B,B
32,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B,False,T,A,B,T,B,B
33,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,T,A,T,B,A,B
34,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-3B,True,A,B,A,B,B,B
