pair_model_1,pair_model_2,sample_id,fluency,code_mixing_naturalness,hindi_grammar,prompt_adherence,spelling_consistency,overall
HingGPT,Qwen2.5-7B,12,T,B,A,B,B,A
HingGPT,Qwen2.5-7B,13,T,A,B,T,B,B
HingGPT,Qwen2.5-7B,14,B,T,A,B,T,B
HingGPT,Qwen2.5-7B,15,B,T,A,T,B,A
HingGPT,Qwen2.5-7B,16,B,T,A,T,B,B
HingGPT,Qwen2.5-7B,17,A,B,T,T,T,B
HingGPT,Qwen2.5-7B,18,B,T,T,A,T,B
HingGPT,Qwen2.5-7B,19,A,T,A,T,T,B
HingGPT,Qwen2.5-7B,20,A,B,T,B,B,B
HingGPT,Qwen2.5-7B,21,B,B,T,T,T,A
HingGPT,Qwen2.5-7B,22,T,A,T,B,A,B
HingGPT,Qwen2.5-7B,23,A,B,B,T,B,T
HingGPT,Qwen2.5-7B,24,A,B,A,T,B,A
HingGPT,Qwen2.5-7B,25,A,T,B,B,T,B
HingGPT,Qwen2.5-7B,26,A,B,T,B,B,B
HingGPT,Qwen2.5-7B,27,A,B,T,B,B,B
HingGPT,Qwen2.5-7B,28,B,T,A,B,T,B
HingGPT,Qwen2.5-7B,29,B,T,A,B,A,B
HingGPT,Qwen2.5-7B,30,B,B,T,A,T,B
HingGPT,Qwen2.5-7B,31,B,T,A,B,A,B
HingGPT,Qwen2.5-7B,32,T,A,T,B,B,T
HingGPT,Qwen2.5-7B,33,T,A,T,B,A,B
HingGPT,Qwen2.5-7B,34,A,T,B,A,B,T
Phi-3.5-mini,Qwen2.5-3B,1,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-3B,2,T,A,B,T,B,B
Phi-3.5-mini,Qwen2.5-3B,3,B,T,A,T,B,A
Phi-3.5-mini,Qwen2.5-3B,4,B,T,A,T,B,B
Phi-3.5-mini,Qwen2.5-3B,5,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-3B,6,A,T,B,A,B,B
Phi-3.5-mini,Qwen2.5-3B,7,A,B,A,T,B,A
Phi-3.5-mini,Qwen2.5-3B,8,B,T,A,B,T,B
Phi-3.5-mini,Qwen2.5-3B,9,A,B,A,T,B,A
Phi-3.5-mini,Qwen2.5-3B,10,A,T,B,A,B,B
Phi-3.5-mini,Qwen2.5-3B,11,B,B,T,T,T,B
Phi-3.5-mini,Qwen2.5-3B,12,B,T,A,B,T,B
Phi-3.5-mini,Qwen2.5-3B,13,A,T,B,A,B,A
Phi-3.5-mini,Qwen2.5-3B,14,A,B,T,B,T,B
Phi-3.5-mini,Qwen2.5-3B,15,B,B,T,T,T,B
Phi-3.5-mini,Qwen2.5-3B,18,B,T,A,T,T,B
Phi-3.5-mini,Qwen2.5-3B,19,A,B,T,B,B,A
Phi-3.5-mini,Qwen2.5-3B,20,B,T,T,T,T,T
Phi-3.5-mini,Qwen2.5-3B,21,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-3B,22,B,B,T,A,T,B
Phi-3.5-mini,Qwen2.5-3B,23,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-3B,24,A,T,B,A,B,B
Phi-3.5-mini,Qwen2.5-3B,25,T,B,T,B,T,B
Phi-3.5-mini,Qwen2.5-3B,26,A,B,A,B,B,A
Phi-3.5-mini,Qwen2.5-3B,27,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-3B,28,B,A,B,T,T,T
Phi-3.5-mini,Qwen2.5-3B,29,B,T,A,T,B,A
Phi-3.5-mini,Qwen2.5-3B,30,A,B,A,T,B,A
Phi-3.5-mini,Qwen2.5-3B,31,B,T,A,B,T,B
Phi-3.5-mini,Qwen2.5-3B,32,B,T,A,T,B,B
Phi-3.5-mini,Qwen2.5-3B,33,T,A,B,T,B,B
Phi-3.5-mini,Qwen2.5-3B,34,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-7B,1,B,T,A,T,B,A
Phi-3.5-mini,Qwen2.5-7B,2,B,T,A,B,A,B
Phi-3.5-mini,Qwen2.5-7B,3,B,T,A,T,B,B
Phi-3.5-mini,Qwen2.5-7B,4,T,A,T,B,A,B
Phi-3.5-mini,Qwen2.5-7B,5,T,A,B,T,B,B
Phi-3.5-mini,Qwen2.5-7B,6,A,A,B,T,B,B
Phi-3.5-mini,Qwen2.5-7B,7,B,T,A,B,T,B
Phi-3.5-mini,Qwen2.5-7B,8,A,B,B,B,T,T
Phi-3.5-mini,Qwen2.5-7B,9,A,T,B,A,B,B
Phi-3.5-mini,Qwen2.5-7B,10,B,B,T,B,T,A
Phi-3.5-mini,Qwen2.5-7B,11,B,T,A,T,B,A
Phi-3.5-mini,Qwen2.5-7B,12,T,T,A,B,A,A
Phi-3.5-mini,Qwen2.5-7B,13,A,T,B,A,B,B
Phi-3.5-mini,Qwen2.5-7B,14,T,A,B,A,B,A
Phi-3.5-mini,Qwen2.5-7B,16,B,T,A,T,B,B
Phi-3.5-mini,Qwen2.5-7B,17,A,B,T,B,B,T
Phi-3.5-mini,Qwen2.5-7B,18,B,B,T,T,T,B
Phi-3.5-mini,Qwen2.5-7B,19,T,B,A,B,B,A
Phi-3.5-mini,Qwen2.5-7B,20,B,T,A,T,B,B
Phi-3.5-mini,Qwen2.5-7B,21,B,B,T,T,T,B
Phi-3.5-mini,Qwen2.5-7B,22,B,T,A,B,A,B
Phi-3.5-mini,Qwen2.5-7B,23,B,B,T,T,T,B
Phi-3.5-mini,Qwen2.5-7B,24,B,T,A,T,B,B
Phi-3.5-mini,Qwen2.5-7B,25,T,B,A,T,A,T
Phi-3.5-mini,Qwen2.5-7B,26,B,A,B,A,T,T
Phi-3.5-mini,Qwen2.5-7B,27,A,B,T,B,B,B
Phi-3.5-mini,Qwen2.5-7B,28,B,T,A,B,T,B
Phi-3.5-mini,Qwen2.5-7B,29,B,T,A,B,T,B
Phi-3.5-mini,Qwen2.5-7B,30,B,B,A,T,B,A
Phi-3.5-mini,Qwen2.5-7B,31,T,A,B,T,B,B
Phi-3.5-mini,Qwen2.5-7B,32,B,T,A,T,B,A
Phi-3.5-mini,Qwen2.5-7B,33,T,A,B,T,B,B
Phi-3.5-mini,Qwen2.5-7B,34,A,T,B,A,B,B
Qwen2.5-3B,Qwen2.5-7B,1,T,A,T,B,A,B
Qwen2.5-3B,Qwen2.5-7B,2,B,A,B,B,T,T
Qwen2.5-3B,Qwen2.5-7B,3,T,A,T,B,A,B
Qwen2.5-3B,Qwen2.5-7B,4,T,T,T,B,B,B
Qwen2.5-3B,Qwen2.5-7B,5,B,T,T,A,T,B
Qwen2.5-3B,Qwen2.5-7B,6,B,T,A,B,A,B
Qwen2.5-3B,Qwen2.5-7B,7,A,B,A,T,B,A
Qwen2.5-3B,Qwen2.5-7B,8,B,A,B,B,B,T
Qwen2.5-3B,Qwen2.5-7B,9,A,A,A,A,B,B
Qwen2.5-3B,Qwen2.5-7B,10,B,T,T,T,A,A
Qwen2.5-3B,Qwen2.5-7B,11,A,B,T,T,T,T
Qwen2.5-3B,Qwen2.5-7B,12,A,B,B,T,T,T
Qwen2.5-3B,Qwen2.5-7B,13,B,T,A,B,A,B
Qwen2.5-3B,Qwen2.5-7B,14,B,T,B,T,A,B
Qwen2.5-3B,Qwen2.5-7B,15,T,B,A,T,A,T
Qwen2.5-3B,Qwen2.5-7B,16,T,B,A,T,A,T
Qwen2.5-3B,Qwen2.5-7B,17,B,B,T,T,T,B
Qwen2.5-3B,Qwen2.5-7B,18,T,A,B,T,B,B
Qwen2.5-3B,Qwen2.5-7B,19,A,T,B,A,B,B
Qwen2.5-3B,Qwen2.5-7B,20,B,A,T,T,A,T
Qwen2.5-3B,Qwen2.5-7B,21,B,T,T,T,A,B
Qwen2.5-3B,Qwen2.5-7B,22,T,A,B,T,B,B
Qwen2.5-3B,Qwen2.5-7B,23,A,B,B,T,A,T
Qwen2.5-3B,Qwen2.5-7B,24,A,T,B,A,B,T
Qwen2.5-3B,Qwen2.5-7B,25,T,A,T,B,B,B
Qwen2.5-3B,Qwen2.5-7B,26,T,A,B,A,B,A
Qwen2.5-3B,Qwen2.5-7B,27,T,A,T,B,A,B
Qwen2.5-3B,Qwen2.5-7B,28,B,A,B,T,T,T
Qwen2.5-3B,Qwen2.5-7B,29,A,B,T,B,B,B
Qwen2.5-3B,Qwen2.5-7B,30,A,B,A,T,B,A
Qwen2.5-3B,Qwen2.5-7B,31,B,T,A,T,B,B
Qwen2.5-3B,Qwen2.5-7B,32,T,A,B,T,B,B
Qwen2.5-3B,Qwen2.5-7B,33,T,A,T,B,A,B
Qwen2.5-3B,Qwen2.5-7B,34,A,B,A,B,B,B
