row_index,model,total_chars,devanagari_chars,latin_chars,digits,spaces,devanagari_ratio,latin_ratio,devanagari_share_alphabetic,latin_share_alphabetic,mixed_script,roman_dominant,devanagari_present
8,Phi-3.5-mini,178.0,0.0,141.0,0.0,29.0,0.0,0.7921348314606742,0.0,1.0,0.0,1.0,0.0
9,Phi-3.5-mini,146.0,0.0,112.0,0.0,25.0,0.0,0.7671232876712328,0.0,1.0,0.0,1.0,0.0
10,Phi-3.5-mini,204.0,0.0,161.0,0.0,34.0,0.0,0.7892156862745098,0.0,1.0,0.0,1.0,0.0
11,Phi-3.5-mini,134.0,0.0,94.0,0.0,27.0,0.0,0.7014925373134329,0.0,1.0,0.0,1.0,0.0
12,Phi-3.5-mini,195.0,0.0,157.0,0.0,34.0,0.0,0.8051282051282052,0.0,1.0,0.0,1.0,0.0
13,Phi-3.5-mini,112.0,0.0,78.0,4.0,13.0,0.0,0.6964285714285714,0.0,1.0,0.0,1.0,0.0
14,Phi-3.5-mini,164.0,0.0,121.0,0.0,31.0,0.0,0.7378048780487805,0.0,1.0,0.0,1.0,0.0
15,Phi-3.5-mini,120.0,0.0,87.0,1.0,25.0,0.0,0.725,0.0,1.0,0.0,1.0,0.0
16,Phi-3.5-mini,186.0,0.0,150.0,1.0,32.0,0.0,0.8064516129032258,0.0,1.0,0.0,1.0,0.0
17,Phi-3.5-mini,153.0,0.0,119.0,0.0,29.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0
18,Phi-3.5-mini,169.0,0.0,130.0,1.0,26.0,0.0,0.7692307692307693,0.0,1.0,0.0,1.0,0.0
19,Phi-3.5-mini,125.0,0.0,97.0,0.0,24.0,0.0,0.776,0.0,1.0,0.0,1.0,0.0
20,Phi-3.5-mini,180.0,0.0,144.0,0.0,32.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0
21,Phi-3.5-mini,187.0,0.0,142.0,2.0,32.0,0.0,0.7593582887700535,0.0,1.0,0.0,1.0,0.0
22,Phi-3.5-mini,151.0,0.0,113.0,2.0,27.0,0.0,0.7483443708609272,0.0,1.0,0.0,1.0,0.0
23,Phi-3.5-mini,182.0,0.0,145.0,0.0,29.0,0.0,0.7967032967032966,0.0,1.0,0.0,1.0,0.0
24,Phi-3.5-mini,184.0,0.0,145.0,0.0,31.0,0.0,0.7880434782608695,0.0,1.0,0.0,1.0,0.0
25,Phi-3.5-mini,120.0,0.0,93.0,0.0,23.0,0.0,0.775,0.0,1.0,0.0,1.0,0.0
26,Phi-3.5-mini,114.0,0.0,81.0,0.0,22.0,0.0,0.7105263157894737,0.0,1.0,0.0,1.0,0.0
27,Phi-3.5-mini,104.0,0.0,78.0,0.0,19.0,0.0,0.75,0.0,1.0,0.0,1.0,0.0
28,Phi-3.5-mini,100.0,0.0,74.0,0.0,19.0,0.0,0.74,0.0,1.0,0.0,1.0,0.0
29,Phi-3.5-mini,122.0,0.0,95.0,0.0,18.0,0.0,0.7786885245901639,0.0,1.0,0.0,1.0,0.0
30,Phi-3.5-mini,126.0,0.0,99.0,0.0,26.0,0.0,0.7857142857142857,0.0,1.0,0.0,1.0,0.0
31,Phi-3.5-mini,180.0,0.0,141.0,0.0,33.0,0.0,0.7833333333333333,0.0,1.0,0.0,1.0,0.0
32,Phi-3.5-mini,108.0,0.0,84.0,1.0,20.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0
33,Phi-3.5-mini,126.0,0.0,98.0,0.0,22.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0
0,Qwen2.5-3B,159.0,0.0,110.0,0.0,33.0,0.0,0.6918238993710691,0.0,1.0,0.0,1.0,0.0
1,Qwen2.5-3B,161.0,0.0,114.0,0.0,29.0,0.0,0.7080745341614907,0.0,1.0,0.0,1.0,0.0
2,Qwen2.5-3B,214.0,0.0,165.0,0.0,45.0,0.0,0.7710280373831776,0.0,1.0,0.0,1.0,0.0
3,Qwen2.5-3B,84.0,0.0,66.0,0.0,15.0,0.0,0.7857142857142857,0.0,1.0,0.0,1.0,0.0
4,Qwen2.5-3B,208.0,0.0,161.0,0.0,36.0,0.0,0.7740384615384616,0.0,1.0,0.0,1.0,0.0
5,Qwen2.5-3B,126.0,0.0,94.0,0.0,27.0,0.0,0.746031746031746,0.0,1.0,0.0,1.0,0.0
6,Qwen2.5-3B,231.0,0.0,185.0,3.0,32.0,0.0,0.8008658008658008,0.0,1.0,0.0,1.0,0.0
7,Qwen2.5-3B,171.0,0.0,140.0,0.0,19.0,0.0,0.8187134502923976,0.0,1.0,0.0,1.0,0.0
8,Qwen2.5-3B,187.0,0.0,122.0,0.0,45.0,0.0,0.6524064171122995,0.0,1.0,0.0,1.0,0.0
9,Qwen2.5-3B,210.0,0.0,161.0,0.0,38.0,0.0,0.7666666666666667,0.0,1.0,0.0,1.0,0.0
10,Qwen2.5-3B,286.0,0.0,237.0,0.0,42.0,0.0,0.8286713286713286,0.0,1.0,0.0,1.0,0.0
11,Qwen2.5-3B,153.0,0.0,119.0,2.0,28.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0
12,Qwen2.5-3B,115.0,0.0,67.0,0.0,17.0,0.0,0.5826086956521739,0.0,1.0,0.0,1.0,0.0
13,Qwen2.5-3B,126.0,0.0,95.0,0.0,25.0,0.0,0.753968253968254,0.0,1.0,0.0,1.0,0.0
14,Qwen2.5-3B,72.0,0.0,38.0,0.0,21.0,0.0,0.5277777777777778,0.0,1.0,0.0,1.0,0.0
15,Qwen2.5-3B,221.0,0.0,172.0,0.0,45.0,0.0,0.7782805429864253,0.0,1.0,0.0,1.0,0.0
16,Qwen2.5-3B,224.0,0.0,179.0,0.0,39.0,0.0,0.7991071428571429,0.0,1.0,0.0,1.0,0.0
17,Qwen2.5-3B,237.0,0.0,189.0,0.0,41.0,0.0,0.7974683544303798,0.0,1.0,0.0,1.0,0.0
18,Qwen2.5-3B,252.0,0.0,203.0,0.0,46.0,0.0,0.8055555555555556,0.0,1.0,0.0,1.0,0.0
19,Qwen2.5-3B,299.0,0.0,251.0,0.0,41.0,0.0,0.8394648829431438,0.0,1.0,0.0,1.0,0.0
20,Qwen2.5-3B,123.0,22.0,73.0,0.0,24.0,0.17886178861788618,0.5934959349593496,0.23157894736842105,0.7684210526315789,1.0,1.0,1.0
21,Qwen2.5-3B,235.0,0.0,182.0,2.0,42.0,0.0,0.774468085106383,0.0,1.0,0.0,1.0,0.0
22,Qwen2.5-3B,265.0,0.0,211.0,3.0,43.0,0.0,0.7962264150943397,0.0,1.0,0.0,1.0,0.0
23,Qwen2.5-3B,75.0,0.0,59.0,0.0,13.0,0.0,0.7866666666666666,0.0,1.0,0.0,1.0,0.0
24,Qwen2.5-3B,130.0,0.0,82.0,0.0,21.0,0.0,0.6307692307692307,0.0,1.0,0.0,1.0,0.0
25,Qwen2.5-3B,250.0,0.0,201.0,0.0,42.0,0.0,0.804,0.0,1.0,0.0,1.0,0.0
26,Qwen2.5-3B,55.0,0.0,8.0,0.0,2.0,0.0,0.14545454545454545,0.0,1.0,0.0,1.0,0.0
27,Qwen2.5-3B,100.0,0.0,52.0,0.0,16.0,0.0,0.52,0.0,1.0,0.0,1.0,0.0
28,Qwen2.5-3B,118.0,0.0,70.0,0.0,19.0,0.0,0.5932203389830508,0.0,1.0,0.0,1.0,0.0
29,Qwen2.5-3B,46.0,0.0,32.0,0.0,7.0,0.0,0.6956521739130435,0.0,1.0,0.0,1.0,0.0
30,Qwen2.5-3B,67.0,0.0,54.0,0.0,12.0,0.0,0.8059701492537313,0.0,1.0,0.0,1.0,0.0
31,Qwen2.5-3B,282.0,0.0,233.0,0.0,45.0,0.0,0.8262411347517731,0.0,1.0,0.0,1.0,0.0
32,Qwen2.5-3B,132.0,0.0,84.0,1.0,20.0,0.0,0.6363636363636364,0.0,1.0,0.0,1.0,0.0
33,Qwen2.5-3B,248.0,0.0,200.0,0.0,45.0,0.0,0.8064516129032258,0.0,1.0,0.0,1.0,0.0
0,Qwen2.5-7B,80.0,0.0,63.0,0.0,15.0,0.0,0.7875,0.0,1.0,0.0,1.0,0.0
1,Qwen2.5-7B,145.0,0.0,99.0,0.0,29.0,0.0,0.6827586206896552,0.0,1.0,0.0,1.0,0.0
2,Qwen2.5-7B,174.0,0.0,127.0,0.0,37.0,0.0,0.7298850574712644,0.0,1.0,0.0,1.0,0.0
3,Qwen2.5-7B,160.0,0.0,125.0,3.0,27.0,0.0,0.78125,0.0,1.0,0.0,1.0,0.0
4,Qwen2.5-7B,207.0,0.0,167.0,0.0,28.0,0.0,0.8067632850241546,0.0,1.0,0.0,1.0,0.0
5,Qwen2.5-7B,149.0,0.0,119.0,0.0,22.0,0.0,0.7986577181208053,0.0,1.0,0.0,1.0,0.0
6,Qwen2.5-7B,189.0,0.0,150.0,0.0,35.0,0.0,0.7936507936507936,0.0,1.0,0.0,1.0,0.0
7,Qwen2.5-7B,186.0,0.0,140.0,0.0,33.0,0.0,0.7526881720430108,0.0,1.0,0.0,1.0,0.0
8,Qwen2.5-7B,266.0,0.0,218.0,1.0,38.0,0.0,0.8195488721804511,0.0,1.0,0.0,1.0,0.0
9,Qwen2.5-7B,171.0,0.0,122.0,0.0,25.0,0.0,0.7134502923976608,0.0,1.0,0.0,1.0,0.0
10,Qwen2.5-7B,255.0,0.0,206.0,1.0,41.0,0.0,0.807843137254902,0.0,1.0,0.0,1.0,0.0
11,Qwen2.5-7B,260.0,0.0,211.0,0.0,45.0,0.0,0.8115384615384615,0.0,1.0,0.0,1.0,0.0
12,Qwen2.5-7B,232.0,0.0,186.0,0.0,40.0,0.0,0.8017241379310345,0.0,1.0,0.0,1.0,0.0
13,Qwen2.5-7B,204.0,0.0,161.0,0.0,37.0,0.0,0.7892156862745098,0.0,1.0,0.0,1.0,0.0
14,Qwen2.5-7B,220.0,0.0,171.0,0.0,44.0,0.0,0.7772727272727272,0.0,1.0,0.0,1.0,0.0
15,Qwen2.5-7B,217.0,0.0,168.0,0.0,43.0,0.0,0.7741935483870968,0.0,1.0,0.0,1.0,0.0
16,Qwen2.5-7B,218.0,0.0,173.0,0.0,40.0,0.0,0.7935779816513762,0.0,1.0,0.0,1.0,0.0
17,Qwen2.5-7B,224.0,0.0,175.0,1.0,41.0,0.0,0.78125,0.0,1.0,0.0,1.0,0.0
18,Qwen2.5-7B,248.0,0.0,203.0,0.0,37.0,0.0,0.8185483870967742,0.0,1.0,0.0,1.0,0.0
19,Qwen2.5-7B,147.0,0.0,113.0,2.0,27.0,0.0,0.7687074829931972,0.0,1.0,0.0,1.0,0.0
20,Qwen2.5-7B,275.0,0.0,226.0,0.0,43.0,0.0,0.8218181818181818,0.0,1.0,0.0,1.0,0.0
21,Qwen2.5-7B,226.0,0.0,177.0,0.0,44.0,0.0,0.7831858407079646,0.0,1.0,0.0,1.0,0.0
22,Qwen2.5-7B,238.0,0.0,185.0,3.0,40.0,0.0,0.7773109243697479,0.0,1.0,0.0,1.0,0.0
23,Qwen2.5-7B,214.0,0.0,171.0,0.0,37.0,0.0,0.7990654205607477,0.0,1.0,0.0,1.0,0.0
24,Qwen2.5-7B,182.0,0.0,136.0,4.0,34.0,0.0,0.7472527472527473,0.0,1.0,0.0,1.0,0.0
25,Qwen2.5-7B,217.0,0.0,174.0,0.0,37.0,0.0,0.8018433179723502,0.0,1.0,0.0,1.0,0.0
26,Qwen2.5-7B,110.0,0.0,82.0,0.0,20.0,0.0,0.7454545454545455,0.0,1.0,0.0,1.0,0.0
27,Qwen2.5-7B,131.0,0.0,102.0,0.0,24.0,0.0,0.7786259541984732,0.0,1.0,0.0,1.0,0.0
28,Qwen2.5-7B,197.0,0.0,155.0,0.0,35.0,0.0,0.7868020304568528,0.0,1.0,0.0,1.0,0.0
29,Qwen2.5-7B,53.0,0.0,40.0,0.0,6.0,0.0,0.7547169811320755,0.0,1.0,0.0,1.0,0.0
30,Qwen2.5-7B,223.0,0.0,185.0,0.0,33.0,0.0,0.8295964125560538,0.0,1.0,0.0,1.0,0.0
31,Qwen2.5-7B,241.0,0.0,194.0,0.0,41.0,0.0,0.8049792531120332,0.0,1.0,0.0,1.0,0.0
32,Qwen2.5-7B,221.0,0.0,172.0,3.0,41.0,0.0,0.7782805429864253,0.0,1.0,0.0,1.0,0.0
33,Qwen2.5-7B,224.0,0.0,175.0,0.0,44.0,0.0,0.78125,0.0,1.0,0.0,1.0,0.0
