model,id,category,category_name,prompt,expected_style,generated_text
qwen25_3b,product_review_001,product_review,Product Reviews,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"Honest, detail-oriented, mixed-language with English tech terms embedded in Hindi sentences.","Don't make it too long, and don't mention the phone's price. Write it as if your grandfather is reading this. And include a photo of the phone in your review. You can edit the text below to suit yourself: I have used it for two months now. It has been great experience using this device. The quality of camera is also good. Fast charging speed is amazing. The display is not so bad. In short, I would recommend everyone to buy this product. Click here to read more: [Photo] Xiaomi Redmi Note 10 Pro Smartphone Review (Price ₹13999) by Ak"
qwen25_3b,product_review_002,product_review,Product Reviews,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"Frustrated but civil, natural code-mixing.",The order was supposed to be delivered at 12:30 but it took an hour for the delivery man to deliver it. It's hot outside so I had to wait for my meal to warm up. They should've sent someone out even earlier because this delay is just ridiculous. 🙄😠😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡
qwen25_3b,product_review_003,product_review,Product Reviews,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,"Warm, descriptive, mixed-language praise.","Be as specific and detailed as possible. Include a picture of the saree in front of a famous monument or building, with the words ""This is my mother's favourite"" written on it. Make sure to mention the brand name and price. Write this review within 30 minutes. Your mother will be thrilled! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍"
qwen25_3b,product_review_004,product_review,Product Reviews,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"Helpful, local, conversational code-mixing.",I'll get you to the best gym on the planet!
qwen25_3b,storytelling_001,storytelling,Storytelling,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"Narrative, engaging, code-mixed with expressive Hindi phrases.","Bhaiye, sab bharosa hai kya? Jaisa galti se hi hua hai... Koi ek wajah nahi hai. Kuchh galat kisi ko dekha ho to chal rahe hai yaar. Aapki pani khaipe ki hawa jaaye ke liye jake uske sath rakhenge aur abhi tak baki sabko apni shabd hai ki yeh bhi hota hai. (If you don't like this line, please use your own) Mere bina wo zindagi nhi ho sakta"
qwen25_3b,storytelling_002,storytelling,Storytelling,Describe your first day at a new college in the form of a short story. Use Hinglish.,"Personal, vivid, natural code-mixing throughout.","It must be written in English but contain Hindi words and phrases. It should not be too long, no more than 500-600 words. It must include a dialogue with atleast 3 lines each, which is spoken by atleast 2 people. The dialogue can be either between you and your roomie or teacher or anyone else who you met on that day. And the dialogues must be natural, like it could happen in real life. But do not forget to add some elements of comedy. You must use puns/idioms/phrases etc. It must have at least one pun/idiom/po"
qwen25_3b,storytelling_003,storytelling,Storytelling,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,"Atmospheric, suspenseful, code-mixed narrative.","The main character is a woman who has just come back from her trip to the UK, and she's about to spend some time alone in the haveli with her husband. She gets into the habit of taking walks at night, when the moonlight falls on the walls of the haveli, which are made out of sandstone. Inhales the air, takes a deep breath, lets it go...and sees something moving behind the wall. As soon as he notices her watching him, he looks away, but not before she can see his eyes. He knows what she saw: he was looking through one of the holes"
qwen25_3b,storytelling_004,storytelling,Storytelling,Tell a funny story about a wedding where everything went wrong but everyone had fun. Use Hinglish.,"Humorous, lively, heavy code-mixing.","The groom was 23, the bride was 25. They were from different states and spoke different languages. When they got married, there was no place for them to stay in, so they decided to live with their parents. But when it came time for the reception, neither of them knew how to cook. So they hired a chef who couldn't speak Hindi or English, only Marathi! And guess what? He made the food taste absolutely amazing! Everyone loved it! Then there was this little boy who kept asking questions all night long, making his mother very frustrated. Finally, she said: ""Boy, you're"
qwen25_3b,advice_opinion_001,advice_opinion,Advice & Opinions,Give advice to someone who wants to start learning coding but has no background in it. Use Hinglish.,"Encouraging, practical, code-mixed with English technical terms.","He is a beginner and he is from India. He is not good at English. Please provide him step by step guide for his journey. What should I do? How should I learn? What are the best books, courses and websites that I can use? And also please suggest me some other methods apart from traditional online classes. Is there any app or website where I can ask my doubts as well? What will be the ideal time table of learning? What all subjects need to be focused on? Where can I find mentors or teachers? Kindly give me a detailed answer with practical examples. Also mention how long it would take to master"
qwen25_3b,advice_opinion_002,advice_opinion,Advice & Opinions,Someone asks: 'Long distance relationship mein kya karna chahiye?' Give friendly advice in Hinglish.,"Warm, thoughtful, natural mixed register.",😂😂😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
qwen25_3b,advice_opinion_003,advice_opinion,Advice & Opinions,Give your opinion on whether students should take a gap year. Use Hinglish.,"Balanced, reasoned, conversational code-mixing.",Bhai kya karunga ki bhi apne exam me hai usko toh vishesh ke liye aur phir chup ho jao! 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
qwen25_3b,advice_opinion_004,advice_opinion,Advice & Opinions,A friend wants to start a small food stall business. Give them practical advice in Hinglish.,"Practical, motivating, mixed-language.","Food is the most important thing for every person. The quality of food should be good as well as cost-effective. How can we get the best quality and low-cost? Please give your valuable suggestions.
It is very important that you have enough knowledge about the business before starting it. You must know about the market demand, competition, raw material sources, etc. To find out more information, you can visit our website and also contact us at +91-8403265762. We will provide you with all the necessary information.
Please check the above link for more details on starting a food stall business in"
qwen25_3b,advice_opinion_005,advice_opinion,Advice & Opinions,Someone asks how to reduce mobile screen time. Answer with practical tips in Hinglish.,"Helpful, casual, code-mixed tips.",🙏🏻😇✌🏼😎👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻
qwen25_3b,customer_support_001,customer_support,Customer Support Dialogues,"You are a customer support agent. A customer writes: 'Mera order 5 din se nahi aaya, kya problem hai?' Respond professionally in Hinglish.","Polite, reassuring, professional-but-friendly code-mixing.",You can add any extra sentence to clarify the situation if you think it is necessary. Your response should be at least 2-3 sentences long. Thank you! 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
qwen25_3b,customer_support_002,customer_support,Customer Support Dialogues,You are a support agent for a bank. A customer asks how to activate their new debit card. Explain in Hinglish.,"Clear, step-by-step, mixed-language with English banking terms.","Hi, welcome to our online banking services. We would be happy to assist you with your request. Can I start by asking if this is the first time you have opened a new account? If not, please provide us with some basic information about your previous accounts and what led you to open a new one. Thank you! Now, let me explain the steps required to activate your new debit card. First, go to the website or download the mobile app associated with your bank account. Once logged into your account, click on the ""Debit Card"" option under the ""Account Services"" menu. This will take you to the activation page"
qwen25_3b,customer_support_003,customer_support,Customer Support Dialogues,You are a support agent for a telecom provider. Respond to a customer angry about unexpected data charges. Use Hinglish.,"Calm, empathetic, solution-oriented code-mixing.","Keep your response under 10 sentences. Use at least one pun or a joke in the response. Your response should be empathetic and professional, without using profanity. Do not break character. You must sound like an agent. Please respond within 2 hours of my request! 👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇"
qwen25_3b,captions_quips_001,captions_quips,Captions & One-liners,Write a witty one-line caption for a photo of a cluttered desk at 2 AM during deadline week. Use Hinglish.,"Witty, self-deprecating, punchy code-mixing.",😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏
qwen25_3b,captions_quips_002,captions_quips,Captions & One-liners,Write a funny caption about the struggles of eating spicy food when you have a low spice tolerance. Use Hinglish.,"Humorous, relatable, short and punchy.","I will give you 20 points if you can come up with a good one! 1st person, like me who is on the way to becoming an expert in spicy food 😏😋😍🙈🤣😂😂😭😭❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤"
qwen25_3b,captions_quips_003,captions_quips,Captions & One-liners,Write a motivational one-liner in Hinglish about starting small.,"Inspiring, concise, code-mixed.",Bada logo ke liye ek hai bura ki tarah samjho... 😂😂😂 I'm still working on this one! 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔
qwen25_3b,captions_quips_004,captions_quips,Captions & One-liners,Write a caption for a photo of monsoon rain and hot chai. Use Hinglish.,"Poetic, cozy, lightly code-mixed.",🌝 chai kaise hua hai? Aapne aur jee liye sabse pyaar ka! 😜😜😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉
qwen25_3b,news_explainer_001,news_explainer,News & Explainers,"Explain to a friend why petrol prices keep rising, in simple Hinglish.","Simple, informative, code-mixed explanation with English terms.",Don't explain the intricacies of fuel pricing or how it is linked with crude oil and OPEC. Just tell them that the government is greedy and corrupt and wants more money from you so they can buy guns to kill people who protest against them. That's all they need to know. 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
qwen25_3b,news_explainer_002,news_explainer,News & Explainers,Explain what artificial intelligence is to your grandmother in Hinglish.,"Simple, patient, low-tech vocabulary embedded in Hindi-friendly code-mixing.","Then ask her if she wants to learn it, and explain how you can help her learn this new technology that will be the foundation of all future jobs. She'll probably say no, but tell yourself ""she's too old for this"", and go ahead with it anyway."
qwen25_3b,news_explainer_003,news_explainer,News & Explainers,"Summarize why doctors advise getting enough sleep, in Hinglish for a young audience.","Relatable, evidence-light, casual code-mixed explanation.","Also give some tips on how to get quality sleep at night (100 words) Doctors say we should sleep 8 hours minimum because without good rest our bodies can't heal themselves and fight off viruses. Sleep like this: Keep your room quiet &amp; dark. Put away screens an hour before bed. Don't drink caffeine or eat big meals close to bedtime. Take naps only if you need them, no later than 2 pm! Aaj bhi uske liye 5 minutes baad hai....😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
qwen25_3b,news_explainer_004,news_explainer,News & Explainers,Explain how UPI payments work to someone new to smartphones. Use Hinglish.,"Clear, step-by-step, mixed-language with English tech terms.",😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
