id,category,category_name,prompt,expected_style,language,split,response
product_review_001,product_review,Product Reviews,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"Honest, detail-oriented, mixed-language with English tech terms embedded in Hindi sentences.",hinglish,test,Include some emojis. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
product_review_002,product_review,Product Reviews,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"Frustrated but civil, natural code-mixing.",hinglish,test,4/5 stars for this guy 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁
product_review_003,product_review,Product Reviews,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,"Warm, descriptive, mixed-language praise.",hinglish,test,🎀✨❤️💐🌹🌸🌷🌺🌻💐🌷🌸🌹🌺💐🌷🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸
product_review_004,product_review,Product Reviews,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"Helpful, local, conversational code-mixing.",hinglish,test,"Include the following: 1. Location and contact number. 2. Opening hours. 3. Equipment. 4. Services available (personal training, group classes, etc.). 5. Pricing options. 6. Membership benefits. 7. Customer reviews or testimonials (if any). Don't forget to add a link to this review on your YouTube channel! 🎥 🏋️♀️ 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪"
storytelling_001,storytelling,Storytelling,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"Narrative, engaging, code-mixed with expressive Hindi phrases.",hinglish,test,"Include the word 'chhota' and 'goli' in your story. Keep the words count under 250. The story should be interesting, funny and touching. You can add some drama if you want but keep it light hearted. I will pay $3 for this. Please bid now! I am looking forward to reading your stories. Thanks!"
storytelling_002,storytelling,Storytelling,Describe your first day at a new college in the form of a short story. Use Hinglish.,"Personal, vivid, natural code-mixing throughout.",hinglish,test,500 words or less. Don't mention the name of any college in this. Write as if you are describing it to someone from outside India. Kya ho gya hai yaha? I'm so confused about what is happening here. 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄
storytelling_003,storytelling,Storytelling,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,"Atmospheric, suspenseful, code-mixed narrative.",hinglish,test,"No dialogue. Include the words 'baap' and 'mat'. The ending should be creepy. Bonus points for using the word 'bhut'. Don't worry, I'll pay you well. (Note: It's okay if you don't know any Hindi.)"
storytelling_004,storytelling,Storytelling,Tell a funny story about a wedding where everything went wrong but everyone had fun. Use Hinglish.,"Humorous, lively, heavy code-mixing.",hinglish,test,Bolo saare. Jodi se badi tukde kya hain. 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
advice_opinion_001,advice_opinion,Advice & Opinions,Give advice to someone who wants to start learning coding but has no background in it. Use Hinglish.,"Encouraging, practical, code-mixed with English technical terms.",hinglish,test,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔
advice_opinion_002,advice_opinion,Advice & Opinions,Someone asks: 'Long distance relationship mein kya karna chahiye?' Give friendly advice in Hinglish.,"Warm, thoughtful, natural mixed register.",hinglish,test,(Not just Hindi) 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅
advice_opinion_003,advice_opinion,Advice & Opinions,Give your opinion on whether students should take a gap year. Use Hinglish.,"Balanced, reasoned, conversational code-mixing.",hinglish,test,"You will be given 30 seconds to speak. Be quick! I'm listening... (pause) OK, time's up. Thank you for sharing your thoughts. It was quite interesting hearing everyone's perspective on this topic. 😊👏🏻👍🏽 We hope you enjoyed participating in our session today! 🙏🏼✨🌟 Until next time, stay safe and keep spreading positivity! 💚💖🌈✨🌹🌸🌼💐🌻🌷🌿🌺🌻🌺🌸🌺🌹🌸💐🌻🌷💐🌸🌹🌸🌺🌸🌺🌸🌺🌸🌺🌹🌸🌹🌸🌺🌸🌺🌸🌺🌹🌸🌺🌸🌺🌸🌺"
advice_opinion_004,advice_opinion,Advice & Opinions,A friend wants to start a small food stall business. Give them practical advice in Hinglish.,"Practical, motivating, mixed-language.",hinglish,test,"I have no idea what to tell them. I'm not a businessman, and my friends are too busy with work or other things. So i need some tips from you guys! Please help! Aapne kaise started? Iska kaam kaise hota hai? Kya kiya hua hoga? Kaise profit milta hain? What do you recommend? If they ask for more information, please suggest some resources. 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
advice_opinion_005,advice_opinion,Advice & Opinions,Someone asks how to reduce mobile screen time. Answer with practical tips in Hinglish.,"Helpful, casual, code-mixed tips.",hinglish,test,"1. Set a daily limit for yourself and stick to it 2. Use the 'app timer' feature to track your usage 3. Keep your phone out of reach during meals, meetings, etc. 4. Use 'Do not disturb' mode at night 5. Set reminders to take breaks every hour 6. Take up an offline hobby like reading or exercising 7. Delete apps that you don't use often 8. Avoid social media notifications 9. Use parental control features if possible 10. Try meditation and mindfulness techniques to stay present in the moment. 🙏🙏🙏🙏🙏🙏"
customer_support_001,customer_support,Customer Support Dialogues,"You are a customer support agent. A customer writes: 'Mera order 5 din se nahi aaya, kya problem hai?' Respond professionally in Hinglish.","Polite, reassuring, professional-but-friendly code-mixing.",hinglish,test,Use polite language and apologize for the inconvenience caused. Thank you.
customer_support_002,customer_support,Customer Support Dialogues,You are a support agent for a bank. A customer asks how to activate their new debit card. Explain in Hinglish.,"Clear, step-by-step, mixed-language with English banking terms.",hinglish,test,
customer_support_003,customer_support,Customer Support Dialogues,You are a support agent for a telecom provider. Respond to a customer angry about unexpected data charges. Use Hinglish.,"Calm, empathetic, solution-oriented code-mixing.",hinglish,test,"🚨 Data bhi saare pakka hai, paise ka khana hi kya hota hai? 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭"
captions_quips_001,captions_quips,Captions & One-liners,Write a witty one-line caption for a photo of a cluttered desk at 2 AM during deadline week. Use Hinglish.,"Witty, self-deprecating, punchy code-mixing.",hinglish,test,"Desk ka saare paper huaa, kaise khaya, bhaiya 🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈"
captions_quips_002,captions_quips,Captions & One-liners,Write a funny caption about the struggles of eating spicy food when you have a low spice tolerance. Use Hinglish.,"Humorous, relatable, short and punchy.",hinglish,test,(Hint: It's not going to be easy) 🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲
captions_quips_003,captions_quips,Captions & One-liners,Write a motivational one-liner in Hinglish about starting small.,"Inspiring, concise, code-mixed.",hinglish,test,"Aisa kaam kar lo jisne bhi kuch hi nahi kiya tha. Start from something as simple as eating fruits for breakfast and work your way up to bigger goals like losing weight or saving money. The journey is important, not just the destination. Keep pushing yourself and never give up on your dreams. Success takes time but it's worth it in the end. 🌟💪✨🔥🚀🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥"
captions_quips_004,captions_quips,Captions & One-liners,Write a caption for a photo of monsoon rain and hot chai. Use Hinglish.,"Poetic, cozy, lightly code-mixed.",hinglish,test,"Include the word 'hawa' somewhere in your caption. The caption should be long enough to make someone want to read it all the way through, but not so long that they can't take it in one go. Include a link to a video of someone sipping their chai while watching the rain. Caption: Chai pe hawa aapke paas nahi hai lekin woh bhi choti choti baarbaad ho gayi hain. It's raining outside and I'm drinking my chai. Just like how monsoon brings with it a sense of calmness amidst chaos, this chai too brings warmth"
news_explainer_001,news_explainer,News & Explainers,"Explain to a friend why petrol prices keep rising, in simple Hinglish.","Simple, informative, code-mixed explanation with English terms.",hinglish,test,"You: Humne kyun kiya hai? Friend: Koi galti nahi tha. You: To hum kyu kar rahe ho? Friend: Kisi ka hi haath mil gaya hain. You: Phir bhi kyu petrol prices ke liye? Friend: Nahi, petrol prices ne mera khed nahi lagta! You: Ye jaisa baat hoti nahi hai. Friend: Mere paise dekho, woh jyada sahi hain! You: Yaad rakhna, sab se pahale kahaan se"
news_explainer_002,news_explainer,News & Explainers,Explain what artificial intelligence is to your grandmother in Hinglish.,"Simple, patient, low-tech vocabulary embedded in Hindi-friendly code-mixing.",hinglish,test,"Hum tumhe bataiye hai ki aapko kaise hain, aur humari shadi ka ek baat chahiye? Kya aap sabhi 24/7 online hai? Aapki app kya hain? Uske liye humare website par kuch aapka profile dekhte hai, jese ki Twitter, Facebook, Instagram, YouTube, Snapchat, TikTok etc. Aur yeh sabh ko dekhte hai, aur ye uska pattern tha hai? Yeh sabh wapas na ho jaate hai. It's called the 'snoopy"
news_explainer_003,news_explainer,News & Explainers,"Summarize why doctors advise getting enough sleep, in Hinglish for a young audience.","Relatable, evidence-light, casual code-mixed explanation.",hinglish,test,🤣🤣🤣😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
news_explainer_004,news_explainer,News & Explainers,Explain how UPI payments work to someone new to smartphones. Use Hinglish.,"Clear, step-by-step, mixed-language with English tech terms.",hinglish,test,It's not as hard as it looks! 😂😂😂👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
