model,sample,category,prompt,response,Automatic_Screening_Reference,E1_English_dominant,E2_Hindi_dominant,E3_Unnatural_code_switching,E4_Grammatical_error,E5_Repetition,E6_Prompt_misunderstanding,E7_Incomplete_response,E8_Spelling_transliteration_error,E9_Hallucination_factual_error,E10_Irrelevant_response,Final_Error_Category,Manual_Notes,Review_Status
HingGPT,11,product_review,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,"Buy the product : The only way to open these Cha kra s is by getting the mantras of these De ities from a Complete Saint . This is what Jagat Guru Rampal Ji Maharaj gives to his devotees . Take initiation from him . Visit Ashram YouTube Channel for more information . . i am with you and your family , sir . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10","The response is predominantly English, contains unnatural code-switching and grammatical/awkward constructions, has heavy repetition of punctuation and filler content, does not follow the requested budget smartphone review prompt, and is completely unrelated to the requested product review",REVIEWED
HingGPT,12,product_review,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,"If you are ready to go back to the gym , it ' s not just me . It ' s a mere product of a kind of self - help exercise . You can ' t do anything for your own sake . In fact , the person who does that is doing something so that they can use it as an excuse . I don ' t care about what people say or what people say . This is absolutely how you know . And if they say , this is how you talk about the people who dont care . Your point is , there is no difference between them being a fan and a fan . This is my opinion . The fans are",NONE,1,0,1,1,1,1,1,0,0,1,"E1,E3,E4,E5,E6,E7,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,13,product_review,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,"You ' re not getting the attention you need to be in your house . If you want to be successful , you should just stick to it . It is what it means . In other words , we don ' t want to see you going . I am not interested to know you . If there ' s anything to do with this , please DM me . I will give you a chance . Thank you . 🙏 🥺 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏",E5,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,14,product_review,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"Hone your skills , build your own space and be the best at it . Click to order : i love you too , but you are not alone . this is why we are not together and thats what we want . queen of hearts bhai ka birthday hai salman khan bday month ye to sabse badi galti nikli ki asim ne usko itna fame diya aur umar ko hi support kar rahe ho ! shame on asim riaz shame on asim riaz nalla host one man show umar nation loves asim stop defaming doctor umar roar like sher umar tum logon ko pata hai ki nahi ki hum log tumhari tarah nahi hai jo har baat par hindu muslim karne aajate hai kabhi kabhi lagta hai",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,15,storytelling,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"The guy is trying to be the victim of a mere car nage . He is the one who does not have faith in Guru ' s word , is not a devotee . Jagat Guru Sant Rampal Ji Maharaj . Must watch Sadhna tv 7 : 30pm ( IST ). 🌳 🌲 🌸 🌺 🥀 🌷 🌷 🌸 🌺 🥀 🌷 🥀 🌷 🥀 🌷 🌼 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🌷 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🌷 🥀 🌷 🥀 🌷 🥀",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,16,storytelling,Describe your first day at a new college in the form of a short story. Use Hinglish.,"Hone your skills , and you will be able to see how you can get started with a new book . Book your tee time here : - ® ® , ® ® ® , ® ® , ® ® ® ® ® ® , ® ® ® ®® ® ® ® ® ® ® ® ® ® , , ® ® ® ® , ® ? ® ® ® ® ? ® , ? ? ® ? ® ® ® ? ® ® ® ® ® ® ? ® ? ® ? ? ? ? ® ? ® ® ? ® ? ® ? ? ® ® ? ® ? ® ? ® ? ® ? ® ? ? ® ? ? ® ? ® ? ®",NONE,0,0,0,0,1,1,1,0,0,1,"E5,E6,E7,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,17,storytelling,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,"Then it is done . Then there is the one who says ' hum to tere baap hai ' . Is it really necessary ? No doubt , but it is just a game . It is not a game . Its a game . Stop playing your own game . You have nothing to do with the game . You are not worth it . Not worth it . Stay strong . You are doing the best . You are doing the best . I am proud of you . Stay strong . Allah bless you ! Love u . Have a good day ! 😊 🤗 ♥ 🙏 💖 😘 💕 💝 💞 💕 💗 💕 💕 💓 💕 💘 💓 💘 💖 💘 💖 💓",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,18,storytelling,Tell a funny story about a wedding where everything went wrong but everyone had fun. Use Hinglish.,"But no one is bothered about it , so there are many more reasons to watch it . It ' s all about being in a relationship with a man and not going for a sex guru or any other purpose . You have to accept that you know the way you do . And if you want to talk about the person he loves , just leave . In front of me . This is how you treat women . Not me . I don ' t care what you say . You can ' t even speak about the woman who doesn ' t like their women . So you call yourself a misogynist . Get your facts straight . You are a misogynist ! You",NONE,1,0,1,1,0,1,0,0,0,1,"E1,E3,E4,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,19,advice_opinion,Give advice to someone who wants to start learning coding but has no background in it. Use Hinglish.,"Learn the skill that you can hone and learn from them , try to be a better person and keep your skills as a motivation . Learn more about how you can build your writing and how you can make your work . And read more at : - Y no me har dao ir a as ? - As cmo ? - Sin una bir ra . - As sin gan as . - As de la familia . - As sin ti . ye log sirf apne agenda chala rahe hai aur kuch nahi inko kya farak padta hai ki ye sab se inke ko fark padega ki inke liye sarkar kya karti hai .. inki aukat kya hai . hum ek dusre ko follow karte",NONE,1,0,1,1,0,1,0,1,0,1,"E1,E3,E4,E6,E8,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,20,advice_opinion,Someone asks: 'Long distance relationship mein kya karna chahiye?' Give friendly advice in Hinglish.,"We can do it ! I am sure they will handle it better , and I hope they do better with time . ( 1 / 2 ) I love how he gets older . And I love his hair . He has a big heart . But he has a great personality . Im so sorry for your loss . Im just sad . Ill never see him again again . He is very very strong and he loves us . You dont need to worry about that . He is the most deserving of all . He is our hero . Love you Bhai . Take care . Stay healthy . Stay safe . Ameen . God bless you . 🙏 🤗 ♥ 🙏 🕉 🙏",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,21,advice_opinion,Give your opinion on whether students should take a gap year. Use Hinglish.,"We are in the process of creating that exam iner ary for students to learn from each and every step of life . A / C - 1 . 5 years se hum padh rahe hai , exam nahi hota hai , ab toh kuch bacha hi nahi hai . We can ' t wait anymore . So don ' t waste our time . We don ' t want any more delay . We want offline exam as soon as possible . Thank you . ^ S . G . . ( ^ 2 ) we love you faisu . . keep shining 🌟 . keep rocking . . . . . . . . . . . . . . . . . . . .",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,22,advice_opinion,A friend wants to start a small food stall business. Give them practical advice in Hinglish.,"If you want to learn something , they can learn from the experience . I would like to thank Dr . Kal ' tsit for your help . And she will share with me too ! ( 2 / 3 ) ( 1 ) aise hi hota hai .. har baar .. kuch na kuch problem ho jati hai .. but phir bhi ye sab chalta rehta hai .. so better hai apna time ayega .. don ' t take it lightly .. 😊 👍 🙌 🙏 👍 😊😊 🙏🙏 🇮🇳🇮🇳 🙏🙏 jai shree ram 🙏 🚩🚩 🚩 🙏 🙏🚩 🇮🇳 🙏🏻 🇮🇳 🙏🏼 🕉 🙏 jai hind 🙏 jai shree ram 🙏 🙏 🇮🇳🙏 💐 🙏 🇮🇳🙏 🙏 🇮🇳 🇮🇳 🙏 🙏 🇮🇳 🙏 🙏 🙏 🇮🇳🇮🇳🇮🇳",E5,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,23,advice_opinion,Someone asks how to reduce mobile screen time. Answer with practical tips in Hinglish.,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,NONE,0,0,0,0,1,1,1,0,0,1,"E5,E6,E7,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,24,customer_support,"You are a customer support agent. A customer writes: 'Mera order 5 din se nahi aaya, kya problem hai?' Respond professionally in Hinglish.",I will get back to you by the time it comes back to you . The company will be able to provide you with the best of your services . ^ J N K S BS - Co ok s . Good morning Bhai 😊 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 💖 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌞 🌅 🌅 🌅 🙏🙏🙏 🌞 💖 🙏🙏 🌻 🙏 🤗 😊😊 🙏🙏 🙏🙏 🤗 🙏 🌴 🙏 🙏🙏 🌹🌹 🙏🙏 🌻 🙏 🌴 🙏 🙏 🙏 🙏 🌴 🙏 👍 🌳 🌲 🌸 🌺 🙏 🌴 🙏 🍁 🙏🙏 🌹🌹 🙏🙏 🌷🌷 🙏 🌴 🙏 🌴 🌴 🌳🌳 🌳 🙏 🙏 🌴 🙏 🌴 🌴,E5,1,0,1,1,1,1,0,1,0,1,"E1,E3,E4,E5,E6,E8,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,25,customer_support,You are a support agent for a bank. A customer asks how to activate their new debit card. Explain in Hinglish.,"One of the worst bank service provider is , they don ' t have any other option . I want to know what is the issue ? How can you do this to customers . Please help us . Thanks ! ^ KAL . ^ J EN . ^ OS . ^ EK . ^ O . ^ R V . ^ SA M - E - N RI . ^ S US HANT . CBI Know s SSR Mur der Truth And He S US HANT SING LE Truth Sushant Singh Rajput . Justice For Disha salian Ji . Justice For Sushant Singh Rajput . Justice For Sushant Singh Rajput . Justice For Bapu ji . Justice For Sushant Now . Justice For Sushant Singh Rajput .",NONE,1,0,1,1,0,1,0,1,0,1,"E1,E3,E4,E6,E8,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,26,customer_support,You are a support agent for a telecom provider. Respond to a customer angry about unexpected data charges. Use Hinglish.,"The issue is that this doesn ' t work . If you have the details , do it . We will deliver a great bill and get them back to you . Please allow us some time ! - P ues ted by PM Narendra Modi at ghat in Varanasi , Uttar Pradesh . _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® _ ® ® _ ® _ ® _ ® ® ® ® ® ® ? Sant Rampal Ji Maharaj YouTube Channel Visit kre aur apne channel pr b share kre .. taaki apki trp ki umeed",NONE,1,0,1,1,1,1,0,1,0,1,"E1,E3,E4,E5,E6,E8,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,27,captions_quips,Write a witty one-line caption for a photo of a cluttered desk at 2 AM during deadline week. Use Hinglish.,"( Though ts ) ( It ' s not a mere coincidence , but the rest is a fact ). The very least you can do is get your facts right . It is an old pic of the first day in my life where I see people getting offended . I mean , just be a little bit careful , and do it all . :) ) ... ! ) / .. / ) / / ) / / / : / ) / / : / / : / : / / / / : / / / : / / : / / : / / / : / / : / / : / / : / : / / : / / :",E7,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,28,captions_quips,Write a funny caption about the struggles of eating spicy food when you have a low spice tolerance. Use Hinglish.,"Then , do what you can to eat , go out and go home . Then , take your piss off and get in trouble . I will do it again . :-) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,29,captions_quips,Write a motivational one-liner in Hinglish about starting small.,"But then , I guess I ' ll get to know that this is the only time I can hone my skills and make it happen . It ' s not the time to die , but to live in peace . I have been working on a lot of things I will ever do for you since then . You are so important to me , and you ' re very important to me . It makes me happy . 💜💜💜💜 💜 💚 💜 💚 💛 💚 💙 💜 💙 💜 💜 💜 💙 💜 💜 💜 💜 💜 💜 💜 💜 💜 💚 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,30,captions_quips,Write a caption for a photo of monsoon rain and hot chai. Use Hinglish.,"We ' re not even counting on you , but we ' ll keep it . :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-)",NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,31,news_explainer,"Explain to a friend why petrol prices keep rising, in simple Hinglish.",Is this the way to go ? Why is there no govt in India taking any action against those who are not getting any justice ? What will happen when there is a government at this time ? Please don ' t make law on it . Be kind and act as a mere spect ator . It ' s not like that . You can ' t be an actual person who is just a puppet . The whole world knows you have nothing to do with your own . You ' re just a puppet of the chosen one . Get out of your mind . I don ' t want to waste time on such people . And it ' s all yours . You,NONE,1,0,1,1,0,1,0,0,0,1,"E1,E3,E4,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,32,news_explainer,Explain what artificial intelligence is to your grandmother in Hinglish.,"What you have said has been proven . The only difference is that it can be found by the govt & amp ; the police in the state , and the army is at fault , so if the army is not involved then who are you to question ? If so then why do you think a police will use this as an excuse for such a crime ? This is not a justification . It ' s a mere accident . You ' re doing nothing . A shame d and un le as hed . It ' s been done by the people who are protesting against it . How do they feel about it . There are no consequences . Stop them . And",NONE,1,0,1,1,0,1,0,0,0,1,"E1,E3,E4,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,33,news_explainer,"Summarize why doctors advise getting enough sleep, in Hinglish for a young audience.",I ' m a mere mortal who thinks it ' s a good thing to do but I ' m not sure if it is a good thing or bad one . I ' m so proud of you ! You are the best ! Stay happy ! Have a great day ! & lt ; 3 thank you for your kindness !! & gt ; .& lt ; 333 you guys have been amazing !!! & lt ; 3 & lt ; 33 3 & lt ; 3 :) & lt ; 3 & lt ; 3 & lt ; 3 & lt ; 3 & lt ; 3 & lt ; 3 & lt ; 3 & lt ;/ 3 & lt ; 3 & lt,NONE,1,0,1,1,1,1,0,0,0,1,"E1,E3,E4,E5,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
HingGPT,34,news_explainer,Explain how UPI payments work to someone new to smartphones. Use Hinglish.,"Its not going to work to be a big deal . Only if there ' s any problem , then they are able to do it for you . You have the right to go through all this and get back to you because you dont have anything better to do , but its not worth it . But you cant really put yourself in front of your eyes and think about others and start taking care of themselves . You can also understand how hard we are to live without them . You are no longer alone . And I ' m still here for you . You are my happiness , and I know you will be happy forever ! X O X O . I",NONE,1,0,1,1,0,1,0,0,0,1,"E1,E3,E4,E6,E10",Batch-assisted error annotation; requires human verification before being reported as fully human-reviewed.,BATCH_ASSISTED
