text,hindi_tokens,english_tokens,other_tokens,total_tokens,hindi_ratio,english_ratio,cmi,switches,is_code_mixed
doosron ki tl😂😂jaao ..thoda padaayi karo ..akal aa jaayegi..jo ka saath detha hai unko tho politics nahi hai naa?phir se joke😂,20,1,0,21,0.9523809523809523,0.047619047619047616,4.761904761904767,2,True
Is this even a time to have a mental breakdown oh dil just go to hell bhai pls,2,16,0,18,0.1111111111111111,0.8888888888888888,11.111111111111116,4,True
Yeah abhi soya nahin hai.,3,2,0,5,0.6,0.4,40.0,2,True
"Sahi... bhagwan bhi niyati ko us samay ke anusar hi dekhte hain, aur jo unke gyan me future dekhta hai wo us samay ke ke anusar hi dikhta hai.... jisme koi kuchh galat nahi.",32,2,0,34,0.9411764705882353,0.058823529411764705,5.882352941176472,3,True
aj k episode k baad muje to lag raha aditya new malini bann jaega 🤣🤣🤣🤣 kuch itna badalne nahi vala truth reveal k baad bhi,20,4,0,24,0.8333333333333334,0.16666666666666666,16.666666666666664,6,True
laude ka vada pav sab moh maya hai,7,1,0,8,0.875,0.125,12.5,2,True
"Noo,seria?ma io di ci",2,4,0,6,0.3333333333333333,0.6666666666666666,33.333333333333336,4,True
WE MISSED YOU MUCH TOO KYUN 😭😭😭💜🖤,1,5,0,6,0.16666666666666666,0.8333333333333334,16.666666666666664,1,True
why this much to shamita bigboss and shamita ki class kha gay8 jb usne sbko bola afsana ko block kro aur uske gye usko block krne,17,9,0,26,0.6538461538461539,0.34615384615384615,34.61538461538461,11,True
bhagwan acche logo ko jldi bula lete h apne paas or barkha neech rh jate h ese tweet krne liye,15,5,0,20,0.75,0.25,25.0,10,True
22:00 temp: 10.0 pressure: 1000.3 hum: 60% today's rain: 1.2mm wind gust: 3.1 wind av: 0.7 s,2,9,0,11,0.18181818181818182,0.8181818181818182,18.181818181818176,3,True
bah s n rl kal,2,3,0,5,0.4,0.6,40.0,2,True
"inki philosophy bohot dangerous hai. Inke hisaab se aap bhagwan ho, main bhagwan hoon hum sab bhagwan hain aur maya ke prabhaav se hum sab bhool gaye hain",24,4,0,28,0.8571428571428571,0.14285714285714285,14.28571428571429,6,True
Abi kali wifi sy kam Chalo lao phir ..,6,2,0,8,0.75,0.25,25.0,4,True
ye sab Radio ke hai..Ye bas musalman se nafrat karna jante hain. Jabki every institutions mein inhi ke Admi hain..Inke wajah se kitne masoom musalman ki jaan gayi ..par inhe koi fark nahin padta.,32,4,0,36,0.8888888888888888,0.1111111111111111,11.111111111111116,6,True
rahul dravid!! acche din aane waale hain!! one of the best cricketing brains of all time takes over the most exciting cricket talent pool in the world ahead of two major icc trophies in the next two years. ps: i think he sent the message to send pant at 3 vs afghanistan today.,8,44,0,52,0.15384615384615385,0.8461538461538461,15.384615384615385,3,True
Badhiya to tha lekin Goenka ko laga uske liye hai. Block kar diya mujhe,11,3,0,14,0.7857142857142857,0.21428571428571427,21.42857142857143,4,True
watched aaj ki was full with entertainment and great knowledge mazaa aa gaya 😍😍😍,5,8,0,13,0.38461538461538464,0.6153846153846154,38.46153846153846,3,True
court case kr diya or kya kren possible he please guide us,4,8,0,12,0.3333333333333333,0.6666666666666666,33.333333333333336,6,True
mujhe v bass sushant hi returns chahiye bass usse de do,8,3,0,11,0.7272727272727273,0.2727272727272727,27.27272727272727,4,True
"aaj ka episode mujhe nhi dekhna, baad me &amp; ka review dekh lenge.",10,3,0,13,0.7692307692307693,0.23076923076923078,23.076923076923073,6,True
"Opportunities may arrive when you least expect them, so if lif... More for Aquarius",1,13,0,14,0.07142857142857142,0.9285714285714286,7.14285714285714,2,True
idar to sale baarish me naach rhe hai bc,6,3,0,9,0.6666666666666666,0.3333333333333333,33.333333333333336,3,True
"Fstic no men fa, per. s m©s 😢",3,4,0,7,0.42857142857142855,0.5714285714285714,42.85714285714286,4,True
Maine kuch time ke liye grudges rakhne wali baat sahi boli hai..lifelong nahi 😂,11,3,0,14,0.7857142857142857,0.21428571428571427,21.42857142857143,6,True
MAKS PARDON CZ LAMUSE EN PLUS,3,3,0,6,0.5,0.5,50.0,3,True
🥺liya toh tha subha kuch time ke liye phir wapis shuru hogya 🥺😂😂😂 chalo done ab loonga 😂,13,2,0,15,0.8666666666666667,0.13333333333333333,13.33333333333333,4,True
pila v do kabhi,2,2,0,4,0.5,0.5,50.0,2,True
"02:45 Temp. 10C, Hum. 90%, Dewp. 8C, Bar. 1006.1 hpa, Rain Today 0 mm, Wind 124 2.9 km/h",3,8,0,11,0.2727272727272727,0.7272727272727273,27.27272727272727,5,True
The words he use is wrong but don't say ki shouldn't say such things to girl in particular kisiko bhi yeh bolna sahi nhi hota in respect aap girl ho yah boy ! Don't say such things to anyone,12,29,0,41,0.2926829268292683,0.7073170731707317,29.268292682926834,10,True
Abhi to Dalal media ke sath ye hona he tha ground reporter sachhi patrakarita ka Prateek hai studio mein baithne wale anchor to hain,18,6,0,24,0.75,0.25,25.0,8,True
kis se kahoge apne baccho ko... ki beta kya pure din phone mai lage rahte ho..!!😅😅😅😅,14,2,0,16,0.875,0.125,12.5,4,True
"Theres a flower in you. If you stand on stage, surely youll blossom. Ill show that you bloom in a Reni-like way.",1,22,0,23,0.043478260869565216,0.9565217391304348,4.347826086956519,2,True
Bhut expectations thi apne aap se 2021 me but in the end all plans got failed and here I'm seating with disappointments. 2022 keep me in your prayers 🙏,6,21,0,27,0.2222222222222222,0.7777777777777778,22.22222222222222,3,True
tum saare saare gangster to beta yha monster mein nanga pail rha hu sabko i m feeling like pornstar,11,8,0,19,0.5789473684210527,0.42105263157894735,42.10526315789473,5,True
"Shi bole ho tum ekdm....m saath hu tumhare. Insaan hote to pta hota ki, school kya hota hai, university kya hoti hai..... Bilkul shi baat hai ki ko isse kya matlb??? Mujhe lgta hai ki logon ko inke report ab 'zoo' m krni chahiye...",40,5,0,45,0.8888888888888888,0.1111111111111111,11.111111111111116,10,True
Yeh gyaan apne tak hi rakh Nhi toh teri bicep beer me kutto ko khila duga,14,2,0,16,0.875,0.125,12.5,2,True
ab to outrage sirf political opportunism hoga to hota h saheb k office se order ane p wo bhi communal division k liye saheb ki govt se jawab mangne ni,20,10,0,30,0.6666666666666666,0.3333333333333333,33.333333333333336,16,True
congratulations 👏🏽 wishing you a happy and successful married life. ( p.s. mujhe lagta tha aap already married ho 🤣),5,13,0,18,0.2777777777777778,0.7222222222222222,27.77777777777778,3,True
Salman ne ek bhi jwab nhi diya ek aam admi ke questions ka dekhai kaise kuch der bad gussa aata h hindu ko jarurat h aab netao se question karne ka our ek joot hokar aise netao ka sikhane ka dekhe kaise bhag rha h,37,8,0,45,0.8222222222222222,0.17777777777777778,17.777777777777782,13,True
"i dunno where to begin..i remember being a confused soul bout keeping my fp professional 😩 i knocked u aur tune mujhe aise ki i was so relieved. and then me being me, i had forgotten to even introduce myself🥰✨ maybe that's where our friendship began🦋",7,38,0,45,0.15555555555555556,0.8444444444444444,15.555555555555555,6,True
that's why i don't watch.... 😂😂😂 sabar nahi hota phir mujhse...,6,6,0,12,0.5,0.5,50.0,1,True
nama guru sunda pls 😭,2,2,0,4,0.5,0.5,50.0,1,True
nishant nahi de sakta umar ka naam kyuki rajiv ekbar andar jake bapas aa gaya tha .....to khel gaye nishant ke sath warna to woh umar ko nikal hi deta .........umar captain bana apne aur sath mai karan ki plan ke wajah se ....so full credit goes to (2),40,8,0,48,0.8333333333333334,0.16666666666666666,16.666666666666664,7,True
"Morning sis, hahahahaha... the edit 😂😂😂... 🐱safed by oranges.",1,6,0,7,0.14285714285714285,0.8571428571428571,14.28571428571429,2,True
Mam ap sb kuch manual krti hn h....ya phir algo TRD...plz reply,8,6,0,14,0.5714285714285714,0.42857142857142855,42.85714285714286,8,True
jutti pare mujhe .. mil toh gaya par woh bhi da 😭,9,1,0,10,0.9,0.1,9.999999999999998,1,True
To fir wo we met on twitter aur wo shaadi wale pictures wo kya hai phir 🙄,11,5,0,16,0.6875,0.3125,31.25,4,True
"me bhi kal khus ho gya tha liverpool jiti to , bhai mujhe bol rha tha 😭",13,2,0,15,0.8666666666666667,0.13333333333333333,13.33333333333333,4,True
aapko dil se salam hai sir aap aise hi rahiye aapke sath pure h,11,3,0,14,0.7857142857142857,0.21428571428571427,21.42857142857143,3,True
Tum phir aa gayi jab tumko kuch logo ne troll kiya toh tum case karne per aa gayi thi aur ab aa kar faltu gyaan de rahi ho ma'am first apne aap per try karo sabar karne ki,32,7,0,39,0.8205128205128205,0.1794871794871795,17.948717948717952,10,True
Mujhe to usne Block kr rakha hai,5,2,0,7,0.7142857142857143,0.2857142857142857,28.57142857142857,2,True
"One in six jobs in London in hospitality &amp; culture says Khan. It's hardly a sign of a healthy economic base to have so many bars, cafes &amp; restaurants. Maybe if and when some normality returns, with more working from home, this imbalance will be addressed.",0,47,0,47,0.0,1.0,0.0,0,False
Aaj kya special hai oppo sis 💓 😝😂 bohut special special tasty 😋 Item hai © Mujhe bhi chayiye dedo naa sweetie 💖😩👏🙏 Debo ke Baad ab Meri mama bhi hai special,17,10,0,27,0.6296296296296297,0.37037037037037035,37.03703703703704,11,True
"Nat, thank you so much for tagging me. By the way, apa kabar?",2,11,0,13,0.15384615384615385,0.8461538461538461,15.384615384615385,1,True
hooo you see her one day a week so she gets there then she cooks cleans does your laundry has bomb sex with you then she s wife material,2,27,0,29,0.06896551724137931,0.9310344827586207,6.896551724137934,3,True
"no jalebi tweets. no tweets. no illegal bowling action. no fights with fixers. only talent and hardwork. aaj yeh hote hein, india jeeta hota. kuldeep 🐐",10,15,0,25,0.4,0.6,40.0,7,True
ye baat gar up ke yogi ji pehle samjha diya jaaye to phir bengal mein aisa bhi hoga,17,1,0,18,0.9444444444444444,0.05555555555555555,5.555555555555558,2,True
aaj boys mai aggression nazar nai aaraha.,5,2,0,7,0.7142857142857143,0.2857142857142857,28.57142857142857,4,True
"o dilbar yaara out now ❤ aankhe phir nam ho jati hai ,yead teri jab jab aaye...",13,3,0,16,0.8125,0.1875,18.75,3,True
a va pas toi,2,2,0,4,0.5,0.5,50.0,2,True
i m but still my family members treat me like a kid har baar abhi tum choti ho sun ne ko milta hai me bari kb hon gi,16,12,0,28,0.5714285714285714,0.42857142857142855,42.85714285714286,1,True
khila dena phir bhi birth day hai 30 feb ko,6,3,0,9,0.6666666666666666,0.3333333333333333,33.333333333333336,4,True
he.. Btw hello kaise ho kaafi waqt hogaya baate kiye,7,3,0,10,0.7,0.3,30.000000000000004,1,True
Modiji pls close the schools and colleges in telangana cases are increasing in schools and colleges but government is not responding pls respond as early as possible 😭😭😭😭😭🙏😷😷🙏,2,25,0,27,0.07407407407407407,0.9259259259259259,7.4074074074074066,3,True
Ladkiyo ko ignore nahi kiya ja sakta hum ko kardo gi chalega par ladki kabhi ignore nahi karti ladkiyo ko,18,2,0,20,0.9,0.1,9.999999999999998,4,True
Very true..what is this? Ticket to finale bhi tasks se toh hum audience hai hi kyun ? toh ek hi hai na n woh jit toh gayi ab kya ..no wonder ki iss season ka trp low kyon hai ..,24,15,0,39,0.6153846153846154,0.38461538461538464,38.46153846153846,13,True
Unka ship name kattu kyun hai par maybe kahin aur likha ho,9,3,0,12,0.75,0.25,25.0,4,True
Abe chal nikal suar ke pille. Faltu mein Ramji ka naam leta hai aur mujhe tameez sikhane aata hai. BC ek bori chawal ke liye imaan bechne walon ka certificate nahi chahiye. Andar le.,29,5,0,34,0.8529411764705882,0.14705882352941177,14.70588235294118,7,True
chutiya internet hai bc,2,2,0,4,0.5,0.5,50.0,3,True
Jyada se jyada ekdusre ko follow back kare,6,2,0,8,0.75,0.25,25.0,2,True
"Local time is 13:58pm, Current Temp 25.6C (Max: 26.7C @ 12:02/Min: 14.1C @ 05:44), Chill 25.6C, Baro 1013.1 hPa, Hum 59, Wind 2 kph - N, Gust 4.7kph, Rain 0.0 mm, Solar 243 W/m, UV Index 1.6 - Skin Risk Low",7,18,0,25,0.28,0.72,28.000000000000004,6,True
arre inke liye toh operation gibraltar ke time bhi kashmiri inke saath the baad mai indian armed forces or ne mai inki kaisi rail banayi thi sabko pta hai,20,9,0,29,0.6896551724137931,0.3103448275862069,31.034482758620683,10,True
"andrew, te",1,1,0,2,0.5,0.5,50.0,1,True
mai to ekdum mast hu ritvik bhabhi ji ghar pe hain.😅? hmm nandini thoda..ziddi v hai😅😅...mujhe hamesa dant ti hai😕,17,3,0,20,0.85,0.15,15.000000000000002,6,True
Jab bhi mere mummy papa ya bhai mujhe koi movie dekhne se mana karte hai to mein samjh jati hu ki usme koi intense scene hai...fir mein wo movie jaan buj kar dekhti hu Ye secret sirf hamare bich me hai...kisi ko pata nahi chalna chahiye 😔👉👈,41,7,0,48,0.8541666666666666,0.14583333333333334,14.583333333333337,10,True
tu dil se hi nahi :') one year of album,5,4,0,9,0.5555555555555556,0.4444444444444444,44.44444444444444,1,True
Lund me macha bawal tere gand dekh kar,6,2,0,8,0.75,0.25,25.0,3,True
Bhai kbhi to add krde,3,2,0,5,0.6,0.4,40.0,2,True
are cashback offer hata de isme kisi ko kuch nhi khul raha hai koi dusra offer de mere pass 5 paytm account he par 20 cashback point ke alawa or kuch nhi khula abhi tak 😠🤬 very bad dear,23,13,0,36,0.6388888888888888,0.3611111111111111,36.111111111111114,10,True
sir ko apne shri mein de......we have lost our fierce brave lion in this tragedy....,7,9,0,16,0.4375,0.5625,43.75,2,True
non so se chi ma chi,4,2,0,6,0.6666666666666666,0.3333333333333333,33.333333333333336,1,True
Its useful if you want to open an account in baby's name (fixed deposits),0,15,0,15,0.0,1.0,0.0,0,False
"koi mauka nahi ko taang khichne ka .khair hum flexible hain ,manage kar lengey😭 yeah on sm ,its advisable 2 play it safe atleast 2 begin with.dusre ki buddhi pata nahi kya signal catch kare.apne ko tone down kar curb kar dene mai he bhalai untill aap parakh lein dusre ko",29,21,0,50,0.58,0.42,42.00000000000001,16,True
"Ok chips bejo mujhe phir, tumare kaam nahi aane wale waisey bhi",10,2,0,12,0.8333333333333334,0.16666666666666666,16.666666666666664,1,True
nope religious organization eik khaas school of thought se nikalti hai aur usk apne ulama hotay hai apne hotay hai apna religious structure hota hai jaise deoband ya,18,10,0,28,0.6428571428571429,0.35714285714285715,35.71428571428571,9,True
Bhai full video share karde dm main.... Fan ho gaya is video ka... Lovely,7,7,0,14,0.5,0.5,50.0,9,True
kavya said kk payar b kro but apne game pe focus kro teju ko itna bura laga isle raat ko woh kk ko bol thi you shd focus on your game,19,12,0,31,0.6129032258064516,0.3870967741935484,38.70967741935484,13,True
Hamaare saamne Girls PG building ka naam hai prem niwas. And they don't allow boys inside the house 🙈,7,12,0,19,0.3684210526315789,0.631578947368421,36.8421052631579,3,True
De pre et de mre,3,2,0,5,0.6,0.4,40.0,2,True
Phir toh isko yeh bhi pata hoga ki yeh PM banega ki nahi. But tum chalu rakho akhir tumhara unofficial boss hai yeh..,18,5,0,23,0.782608695652174,0.21739130434782608,21.739130434782606,6,True
lagta ha n league ne apne hi supporters se kha leni hain,9,3,0,12,0.75,0.25,25.0,4,True
Bhai Sidhi Baat padhe likhe Hote a to Kahin acche post per Baithe Hote Desh Ki Seva Karte Bhagwan ka naam bich kar apna pet Nahin chalate,24,3,0,27,0.8888888888888888,0.1111111111111111,11.111111111111116,6,True
aaj raat bhi koi so sakta hai kya?,6,2,0,8,0.75,0.25,25.0,3,True
depends on padhai ki ya nahi and it varies kabhi kabhi i padhai ©,7,6,0,13,0.5384615384615384,0.46153846153846156,46.15384615384615,5,True
Vikash hua ki desh ka dra hua bhi ab desh ke nali sadak or desh ka infrastructure ki dhyan rakhne lag gaya....itna vikash bta raha hai ki desh sahi haatho me hai....,30,3,0,33,0.9090909090909091,0.09090909090909091,9.090909090909093,6,True
prof hawa useful idiots,1,3,0,4,0.25,0.75,25.0,2,True
Abe ticket chor tu pehle apne aap ko mukt karwa jo cases rahe hai tere pe,14,2,0,16,0.875,0.125,12.5,4,True
My brother saw memes on Baburao/Devi Prasad/Laxmi Chit Fund etc and immediately sat down through Phir Hera Pheri. Talk about research.,6,17,0,23,0.2608695652173913,0.7391304347826086,26.086956521739136,4,True
"an unhappy marriage is not the result of the absence of love, but rather the absence of reason to stay, is a good reason to go.. mere dil ki dhadkan umar",5,26,0,31,0.16129032258064516,0.8387096774193549,16.129032258064512,1,True
😆😆bhai saare udne share bear ne pel diya kaske,6,2,0,8,0.75,0.25,25.0,2,True
Bhai Kab hit ?,2,1,0,3,0.6666666666666666,0.3333333333333333,33.333333333333336,1,True
i have never seen a bigger idiot than this guy no one hates shaheen other than done bhai fans due to that incident in psl. inke hi khatam nai hotey,7,23,0,30,0.23333333333333334,0.7666666666666667,23.33333333333333,5,True
saara kailash hil jaye ga jab inke geet har koi gayega aap bhi sang sang bol bam hits of gunjan singh aaj hi gaana par,19,6,0,25,0.76,0.24,24.0,6,True
hoti hai aurate. Bo ye bhul jati hai ki unhe Tiger unke husband he banate hai.,12,4,0,16,0.75,0.25,25.0,7,True
Happy international men's day 😁😁😁😁😁 Hawa,2,4,0,6,0.3333333333333333,0.6666666666666666,33.333333333333336,3,True
Fcil... bjate de la mula...duuuriiisiiimooo... los har ..todos son iguales!!,7,4,0,11,0.6363636363636364,0.36363636363636365,36.36363636363637,6,True
chalo agar maan bhi liya ki uska naam dawood hai....but drugs case se kya relation hai....he is still a ncb banging the khans kid for drugs business,14,15,0,29,0.4827586206896552,0.5172413793103449,48.275862068965516,5,True
abhi bhi koi hai kya one year of,5,3,0,8,0.625,0.375,37.5,1,True
no problem ma sab kuch ha,4,2,0,6,0.6666666666666666,0.3333333333333333,33.333333333333336,1,True
Areee aree madam ko to alag hi chl rha har Thursday ko inko kya hota,12,3,0,15,0.8,0.2,19.999999999999996,6,True
hope icc will look in to this and arrange world cup in every 6 months bcoz this man think test series are inconsequential which is basically part of wtc. kuch karo 😉,3,27,0,30,0.1,0.9,9.999999999999998,1,True
Ekdam sahi.agreed hundred percent,2,3,0,5,0.4,0.6,40.0,1,True
ok bye ja rha nhi pasand tujhe mera rahna to thik hai ja rha bye,12,3,0,15,0.8,0.2,19.999999999999996,2,True
Happy Birthday to the biggest megastar of India..tha man who is greater than a human being..the man who is whole world in himself..the man who is loved by millions n trillions one n only salman khan bhaijaan,5,35,0,40,0.125,0.875,12.5,7,True
"My Kyun, stop killin' me with that smile/expression",2,7,0,9,0.2222222222222222,0.7777777777777778,22.22222222222222,4,True
"04:43 Temp. 0.2C, Hum. 87%, Dewp. -2.4C, Bar. 1003.8 hpa, Rain Today 0 mm, Wind 86 9 km/h",4,7,0,11,0.36363636363636365,0.6363636363636364,36.36363636363637,3,True
organic friendship is must 🌝❤ phir good housewife good mother 🙃💁♀️🤫,1,8,0,9,0.1111111111111111,0.8888888888888888,11.111111111111116,2,True
nhi mere 2 hi bhai h ek mera saga bhai or ek aap🥺,9,2,0,11,0.8181818181818182,0.18181818181818182,18.181818181818176,4,True
i skipped his scenes whom did he call a haathi ? dhara and suman did the parenting of three kids but there is a clear difference gautam and shiva were never like this. dev toh nalla hain. ab krish bhi nalla ho gaya,14,28,0,42,0.3333333333333333,0.6666666666666666,33.333333333333336,11,True
sadiq khan : build a statue for stephen lawrence in trafalgar square - sign the petition! via,1,14,0,15,0.06666666666666667,0.9333333333333333,6.666666666666665,1,True
bio dekh ke hi darr gayi thi 🤧 fir bhi pinned tweet padha... apna toh kar nhi tumhara kaise karu 😒 mere toh dist bhi naraz ho jate 🥺,22,4,0,26,0.8461538461538461,0.15384615384615385,15.384615384615385,5,True
Punjab Govt Owns Khadim Rizvi's 'Urs' Khan Worried About Journalists' Protection Bill,2,11,0,13,0.15384615384615385,0.8461538461538461,15.384615384615385,3,True
Sahi hai bhai.. Isse bhi ho skta h easily,7,2,0,9,0.7777777777777778,0.2222222222222222,22.22222222222222,1,True
breaking: city of london on lockdown: emergency as police seal of major roads - public 'told to run' but don't worry thinks it's all part and parcel of living in a city! time khan resigned;,0,36,0,36,0.0,1.0,0.0,0,False
priya tarun jaise hum chara chori kiye the waise hi tum v karo aur jyada crore k kro... hum to kewal 2 hazar crore k kiye the tum 2 -4 lakh crore k kro... ko ek nayi tak le jao... ha ha ha ha ....,40,1,0,41,0.975609756097561,0.024390243902439025,2.4390243902439046,2,True
ek galti hui hai chalo doosri karke usse sudhar dete hain dwivedi ji is trying a tried and tested way of defending a wrong pehle religion se jodo fir culture se fir nationalism se matlab kal tum jai sri ram nahi bologe to sedition ka case bhi file ho sakta hai,32,19,0,51,0.6274509803921569,0.37254901960784315,37.254901960784316,18,True
"bachpan se meri mumma mujhe sirf ek hee cheez kehti aayi hai - beta jeet ke aana, koi best of of luck nahi. bas jeet ke aana. - kapil dev, 1983 out tomorrow. 83 releasing in cinemas on 24th dec, 2021, in hindi, tamil, telugu, kannada and malayalam. also in 3d",23,21,0,44,0.5227272727272727,0.4772727272727273,47.72727272727273,7,True
International popularity of content films by Aamir Khan and faith in Aamir khan is too high ... but some of us spoils that broth by unnecessary trolling,3,23,0,26,0.11538461538461539,0.8846153846153846,11.538461538461542,6,True
Inke ghar mein ladies kya soch rahi inke aaj ke ko sun kar.,11,2,0,13,0.8461538461538461,0.15384615384615385,15.384615384615385,3,True
"💯 CP 635 / 30 / DSP 29:17 27.653058,-97.296523",0,2,0,2,0.0,1.0,0.0,0,False
nikal ok aj me soch rha tere followers me thora pyaar,9,2,0,11,0.8181818181818182,0.18181818181818182,18.181818181818176,4,True
is love koi iss ladki se pyaar kaise kr skta h,8,3,0,11,0.7272727272727273,0.2727272727272727,27.27272727272727,5,True
bro khel ma pani badi man gaye guru,6,2,0,8,0.75,0.25,25.0,3,True
accha ye tweet to chl gya tera ...,5,2,0,7,0.7142857142857143,0.2857142857142857,28.57142857142857,2,True
Nhii yaar inko bas mauka chahiye fateh ya ko bash krne ka pata nhi itna kyu hate krte h usse,17,3,0,20,0.85,0.15,15.000000000000002,6,True
kam karo bhai hum up wale hai hume pata hai kaisa hai up aap hi raat me bahar aa jayo gum lo malum ho jayega,23,2,0,25,0.92,0.08,7.9999999999999964,4,True
anu waqai sab fake h ghussa bata rhaa h,6,3,0,9,0.6666666666666666,0.3333333333333333,33.333333333333336,3,True
