model,sample,prompt,response,hindi_tokens,english_tokens,other_tokens,CMI,M_index,SyMCoM_imbalance
qwen25_7b,10,Write a 4-star Amazon-style review of a budget smartphone you just bought. Use Hinglish.,Include some emojis. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0,3,1,0.0,0.0,1.0
qwen25_7b,11,Write a negative review of a food delivery app whose order arrived cold and late. Use Hinglish.,4/5 stars for this guy 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,0,4,3,0.0,0.0,1.0
qwen25_7b,12,Write a glowing review of a saree you bought online for your mother. Use Hinglish.,🎀✨❤️💐🌹🌸🌷🌺🌻💐🌷🌸🌹🌺💐🌷🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸🌺💐🌹🌸,0,0,1,0.0,0.0,0.0
qwen25_7b,13,Review a budget-friendly gym in your area for Google Maps. Use Hinglish.,"Include the following: 1. Location and contact number. 2. Opening hours. 3. Equipment. 4. Services available (personal training, group classes, etc.). 5. Pricing options. 6. Membership benefits. 7. Customer reviews or testimonials (if any). Don't forget to add a link to this review on your YouTube channel! 🎥 🏋️♀️ 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪",0,40,17,0.0,0.0,1.0
qwen25_7b,14,Tell a short story about a street dog who becomes the hero of a neighbourhood. Write it in Hinglish.,"Include the word 'chhota' and 'goli' in your story. Keep the words count under 250. The story should be interesting, funny and touching. You can add some drama if you want but keep it light hearted. I will pay $3 for this. Please bid now! I am looking forward to reading your stories. Thanks!",0,52,3,0.0,0.0,1.0
qwen25_7b,15,Describe your first day at a new college in the form of a short story. Use Hinglish.,500 words or less. Don't mention the name of any college in this. Write as if you are describing it to someone from outside India. Kya ho gya hai yaha? I'm so confused about what is happening here. 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,4,33,2,10.81,0.2389,0.8521
qwen25_7b,16,Write a short spooky story set in an old haveli in Rajasthan. Use Hinglish.,"No dialogue. Include the words 'baap' and 'mat'. The ending should be creepy. Bonus points for using the word 'bhut'. Don't worry, I'll pay you well. (Note: It's okay if you don't know any Hindi.)",1,34,0,2.86,0.0588,0.9883
qwen25_7b,17,Tell a funny story about a wedding where everything went wrong but everyone had fun. Use Hinglish.,Bolo saare. Jodi se badi tukde kya hain. 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,6,2,1,25.0,0.6,0.7778
qwen25_7b,18,Give advice to someone who wants to start learning coding but has no background in it. Use Hinglish.,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,0,0,1,0.0,0.0,0.0
qwen25_7b,19,Someone asks: 'Long distance relationship mein kya karna chahiye?' Give friendly advice in Hinglish.,(Not just Hindi) 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,3,1,0.0,0.0,1.0
qwen25_7b,20,Give your opinion on whether students should take a gap year. Use Hinglish.,"You will be given 30 seconds to speak. Be quick! I'm listening... (pause) OK, time's up. Thank you for sharing your thoughts. It was quite interesting hearing everyone's perspective on this topic. 😊👏🏻👍🏽 We hope you enjoyed participating in our session today! 🙏🏼✨🌟 Until next time, stay safe and keep spreading positivity! 💚💖🌈✨🌹🌸🌼💐🌻🌷🌿🌺🌻🌺🌸🌺🌹🌸💐🌻🌷💐🌸🌹🌸🌺🌸🌺🌸🌺🌸🌺🌹🌸🌹🌸🌺🌸🌺🌸🌺🌹🌸🌺🌸🌺🌸🌺",1,48,4,2.04,0.0416,0.9899
qwen25_7b,21,A friend wants to start a small food stall business. Give them practical advice in Hinglish.,"I have no idea what to tell them. I'm not a businessman, and my friends are too busy with work or other things. So i need some tips from you guys! Please help! Aapne kaise started? Iska kaam kaise hota hai? Kya kiya hua hoga? Kaise profit milta hain? What do you recommend? If they ask for more information, please suggest some resources. 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",11,52,1,17.46,0.405,0.9098
qwen25_7b,22,Someone asks how to reduce mobile screen time. Answer with practical tips in Hinglish.,"1. Set a daily limit for yourself and stick to it 2. Use the 'app timer' feature to track your usage 3. Keep your phone out of reach during meals, meetings, etc. 4. Use 'Do not disturb' mode at night 5. Set reminders to take breaks every hour 6. Take up an offline hobby like reading or exercising 7. Delete apps that you don't use often 8. Avoid social media notifications 9. Use parental control features if possible 10. Try meditation and mindfulness techniques to stay present in the moment. 🙏🙏🙏🙏🙏🙏",0,80,21,0.0,0.0,1.0
qwen25_7b,23,"You are a customer support agent. A customer writes: 'Mera order 5 din se nahi aaya, kya problem hai?' Respond professionally in Hinglish.",Use polite language and apologize for the inconvenience caused. Thank you.,0,11,0,0.0,0.0,1.0
qwen25_7b,24,You are a support agent for a bank. A customer asks how to activate their new debit card. Explain in Hinglish.,nan,0,1,0,0.0,0.0,1.0
qwen25_7b,25,You are a support agent for a telecom provider. Respond to a customer angry about unexpected data charges. Use Hinglish.,"🚨 Data bhi saare pakka hai, paise ka khana hi kya hota hai? 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",10,2,2,16.67,0.3846,0.875
qwen25_7b,26,Write a witty one-line caption for a photo of a cluttered desk at 2 AM during deadline week. Use Hinglish.,"Desk ka saare paper huaa, kaise khaya, bhaiya 🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈",3,5,1,37.5,0.8824,0.7143
qwen25_7b,27,Write a funny caption about the struggles of eating spicy food when you have a low spice tolerance. Use Hinglish.,(Hint: It's not going to be easy) 🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲,0,7,1,0.0,0.0,1.0
qwen25_7b,28,Write a motivational one-liner in Hinglish about starting small.,"Aisa kaam kar lo jisne bhi kuch hi nahi kiya tha. Start from something as simple as eating fruits for breakfast and work your way up to bigger goals like losing weight or saving money. The journey is important, not just the destination. Keep pushing yourself and never give up on your dreams. Success takes time but it's worth it in the end. 🌟💪✨🔥🚀🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥💥🌟💫🔥",10,53,1,15.87,0.3644,0.7971
qwen25_7b,29,Write a caption for a photo of monsoon rain and hot chai. Use Hinglish.,"Include the word 'hawa' somewhere in your caption. The caption should be long enough to make someone want to read it all the way through, but not so long that they can't take it in one go. Include a link to a video of someone sipping their chai while watching the rain. Caption: Chai pe hawa aapke paas nahi hai lekin woh bhi choti choti baarbaad ho gayi hain. It's raining outside and I'm drinking my chai. Just like how monsoon brings with it a sense of calmness amidst chaos, this chai too brings warmth",12,83,0,12.63,0.2832,0.7004
qwen25_7b,30,"Explain to a friend why petrol prices keep rising, in simple Hinglish.","You: Humne kyun kiya hai? Friend: Koi galti nahi tha. You: To hum kyu kar rahe ho? Friend: Kisi ka hi haath mil gaya hain. You: Phir bhi kyu petrol prices ke liye? Friend: Nahi, petrol prices ne mera khed nahi lagta! You: Ye jaisa baat hoti nahi hai. Friend: Mere paise dekho, woh jyada sahi hain! You: Yaad rakhna, sab se pahale kahaan se",38,27,0,41.54,0.9443,0.6806
qwen25_7b,31,Explain what artificial intelligence is to your grandmother in Hinglish.,"Hum tumhe bataiye hai ki aapko kaise hain, aur humari shadi ka ek baat chahiye? Kya aap sabhi 24/7 online hai? Aapki app kya hain? Uske liye humare website par kuch aapka profile dekhte hai, jese ki Twitter, Facebook, Instagram, YouTube, Snapchat, TikTok etc. Aur yeh sabh ko dekhte hai, aur ye uska pattern tha hai? Yeh sabh wapas na ho jaate hai. It's called the 'snoopy",39,27,2,40.91,0.936,0.8463
qwen25_7b,32,"Summarize why doctors advise getting enough sleep, in Hinglish for a young audience.",🤣🤣🤣😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0,1,0.0,0.0,0.0
qwen25_7b,33,Explain how UPI payments work to someone new to smartphones. Use Hinglish.,It's not as hard as it looks! 😂😂😂👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0,7,1,0.0,0.0,1.0
